"Time","leastloaded","prequal"
2026-06-08 16:13:09,44,0
2026-06-08 16:13:12,32,0
2026-06-08 16:13:15,39,0
2026-06-08 16:13:18,33,0
2026-06-08 16:13:21,36,0
2026-06-08 16:13:24,34,0
2026-06-08 16:13:27,0,0
2026-06-08 16:13:30,0,0
2026-06-08 16:13:33,0,0
2026-06-08 16:13:36,0,0
2026-06-08 16:13:39,0,39
2026-06-08 16:13:42,0,40
2026-06-08 16:13:45,0,43
2026-06-08 16:13:48,0,40
2026-06-08 16:13:51,0,35
2026-06-08 16:13:54,0,37
2026-06-08 16:13:57,0,47
2026-06-08 16:14:00,0,43
2026-06-08 16:14:03,0,37
2026-06-08 16:14:06,0,46
2026-06-08 16:14:09,0,0
2026-06-08 16:14:12,0,0
2026-06-08 16:14:15,0,0
2026-06-08 16:14:18,45,0
2026-06-08 16:14:21,35,0
2026-06-08 16:14:24,38,0
2026-06-08 16:14:27,47,0
2026-06-08 16:14:30,40,0
2026-06-08 16:14:33,41,0
2026-06-08 16:14:36,44,0
2026-06-08 16:14:39,37,0
2026-06-08 16:14:42,40,0
2026-06-08 16:14:45,40,0
2026-06-08 16:14:48,0,0
2026-06-08 16:14:51,0,0
2026-06-08 16:14:54,0,0
2026-06-08 16:14:57,0,0
2026-06-08 16:15:00,0,29
2026-06-08 16:15:03,0,27
2026-06-08 16:15:06,0,21
2026-06-08 16:15:09,0,24
2026-06-08 16:15:12,0,23
2026-06-08 16:15:15,0,20
2026-06-08 16:15:18,0,23
2026-06-08 16:15:21,0,17
2026-06-08 16:15:24,0,18
2026-06-08 16:15:27,0,22
2026-06-08 16:15:30,0,0
2026-06-08 16:15:33,0,0
2026-06-08 16:15:36,0,0
2026-06-08 16:15:39,40,0
2026-06-08 16:15:42,38,0
2026-06-08 16:15:45,45,0
2026-06-08 16:15:48,28,0
2026-06-08 16:15:51,48,0
2026-06-08 16:15:54,37,0
2026-06-08 16:15:57,40,0
2026-06-08 16:16:00,45,0
2026-06-08 16:16:03,43,0
2026-06-08 16:16:06,44,0
2026-06-08 16:16:09,0,0
2026-06-08 16:16:12,0,0
2026-06-08 16:16:15,0,0
2026-06-08 16:16:18,0,47
2026-06-08 16:16:21,0,38
2026-06-08 16:16:24,0,36
2026-06-08 16:16:27,0,36
2026-06-08 16:16:30,0,33
2026-06-08 16:16:33,0,36
2026-06-08 16:16:36,0,34
2026-06-08 16:16:39,0,32
2026-06-08 16:16:42,0,32
2026-06-08 16:16:45,0,37
2026-06-08 16:16:48,0,0
2026-06-08 16:16:51,0,0
2026-06-08 16:16:54,0,0
2026-06-08 16:16:57,0,0
2026-06-08 16:17:00,49,0
2026-06-08 16:17:03,47,0
2026-06-08 16:17:06,39,0
2026-06-08 16:17:09,45,0
2026-06-08 16:17:12,35,0
2026-06-08 16:17:15,40,0
2026-06-08 16:17:18,42,0
2026-06-08 16:17:21,40,0
2026-06-08 16:17:24,33,0
2026-06-08 16:17:27,32,0
2026-06-08 16:17:30,0,0
2026-06-08 16:17:33,0,0
2026-06-08 16:17:36,0,0
2026-06-08 16:17:39,0,48
2026-06-08 16:17:42,0,46
2026-06-08 16:17:45,0,45
2026-06-08 16:17:48,0,45
2026-06-08 16:17:51,0,36
2026-06-08 16:17:54,0,43
2026-06-08 16:17:57,0,41
2026-06-08 16:18:00,0,40
2026-06-08 16:18:03,0,39
2026-06-08 16:18:06,0,39
2026-06-08 16:18:09,0,0
2026-06-08 16:18:12,0,0
2026-06-08 16:18:15,0,0
2026-06-08 16:18:18,47,0
2026-06-08 16:18:21,46,0
2026-06-08 16:18:24,45,0
2026-06-08 16:18:27,44,0
2026-06-08 16:18:30,43,0
2026-06-08 16:18:33,42,0
2026-06-08 16:18:36,42,0
2026-06-08 16:18:39,41,0
2026-06-08 16:18:42,40,0
2026-06-08 16:18:45,40,0
2026-06-08 16:18:48,0,0
2026-06-08 16:18:51,0,0
2026-06-08 16:18:54,0,0
2026-06-08 16:18:57,0,0
