"Time","leastloaded p50","prequal p50","leastloaded p90","prequal p90","leastloaded p99","prequal p99","leastloaded p99.9","prequal p99.9"
2026-06-08 16:13:09,6.97 ms,NaN,15.6 ms,NaN,24.1 ms,NaN,25.0 ms,NaN
2026-06-08 16:13:12,6.95 ms,NaN,15.4 ms,NaN,24.1 ms,NaN,25.0 ms,NaN
2026-06-08 16:13:15,6.92 ms,NaN,15.1 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:18,6.91 ms,NaN,15.0 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:21,6.95 ms,NaN,15.4 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:24,6.97 ms,NaN,15.5 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:27,6.98 ms,NaN,15.4 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:30,6.97 ms,NaN,15.2 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:33,6.98 ms,NaN,15.5 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 16:13:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 16:13:39,NaN,8.29 ms,NaN,21.3 ms,NaN,37.9 ms,NaN,49.2 ms
2026-06-08 16:13:42,NaN,7.58 ms,NaN,19.4 ms,NaN,24.9 ms,NaN,47.6 ms
2026-06-08 16:13:45,NaN,7.46 ms,NaN,18.8 ms,NaN,24.7 ms,NaN,46.2 ms
2026-06-08 16:13:48,NaN,7.10 ms,NaN,16.8 ms,NaN,24.3 ms,NaN,28.8 ms
2026-06-08 16:13:51,NaN,7.05 ms,NaN,16.7 ms,NaN,24.3 ms,NaN,31.7 ms
2026-06-08 16:13:54,NaN,6.87 ms,NaN,15.6 ms,NaN,24.2 ms,NaN,29.7 ms
2026-06-08 16:13:57,NaN,6.87 ms,NaN,15.6 ms,NaN,24.1 ms,NaN,25.0 ms
2026-06-08 16:14:00,NaN,6.79 ms,NaN,15.1 ms,NaN,24.1 ms,NaN,25.0 ms
2026-06-08 16:14:03,NaN,6.85 ms,NaN,15.4 ms,NaN,24.1 ms,NaN,25.0 ms
2026-06-08 16:14:06,NaN,6.88 ms,NaN,15.5 ms,NaN,24.1 ms,NaN,25.0 ms
2026-06-08 16:14:09,NaN,6.94 ms,NaN,15.8 ms,NaN,24.1 ms,NaN,25.0 ms
2026-06-08 16:14:12,NaN,7.00 ms,NaN,16.2 ms,NaN,24.2 ms,NaN,28.8 ms
2026-06-08 16:14:15,NaN,7.15 ms,NaN,16.8 ms,NaN,24.2 ms,NaN,24.9 ms
2026-06-08 16:14:18,9.75 ms,NaN,22.2 ms,NaN,28.1 ms,NaN,47.8 ms,NaN
2026-06-08 16:14:21,7.13 ms,NaN,18.3 ms,NaN,24.6 ms,NaN,43.9 ms,NaN
2026-06-08 16:14:24,6.86 ms,NaN,16.5 ms,NaN,24.4 ms,NaN,42.2 ms,NaN
2026-06-08 16:14:27,6.32 ms,NaN,9.89 ms,NaN,23.4 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:30,6.42 ms,NaN,9.95 ms,NaN,23.5 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:33,6.37 ms,NaN,9.91 ms,NaN,23.4 ms,NaN,24.8 ms,NaN
2026-06-08 16:14:36,6.42 ms,NaN,9.99 ms,NaN,23.5 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:39,6.47 ms,NaN,11.4 ms,NaN,23.7 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:42,6.44 ms,NaN,11.2 ms,NaN,23.7 ms,NaN,25.0 ms,NaN
2026-06-08 16:14:45,6.38 ms,NaN,9.99 ms,NaN,23.6 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:48,6.27 ms,NaN,9.86 ms,NaN,23.3 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:51,6.27 ms,NaN,9.85 ms,NaN,23.3 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:54,6.24 ms,NaN,9.85 ms,NaN,23.2 ms,NaN,24.9 ms,NaN
2026-06-08 16:14:57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 16:15:00,NaN,8.38 ms,NaN,21.0 ms,NaN,24.9 ms,NaN,46.6 ms
2026-06-08 16:15:03,NaN,7.67 ms,NaN,19.7 ms,NaN,24.7 ms,NaN,44.8 ms
2026-06-08 16:15:06,NaN,7.40 ms,NaN,18.9 ms,NaN,24.6 ms,NaN,42.1 ms
2026-06-08 16:15:09,NaN,7.02 ms,NaN,17.2 ms,NaN,24.3 ms,NaN,35.9 ms
2026-06-08 16:15:12,NaN,7.16 ms,NaN,18.0 ms,NaN,24.4 ms,NaN,33.2 ms
2026-06-08 16:15:15,NaN,7.30 ms,NaN,18.6 ms,NaN,24.5 ms,NaN,40.2 ms
2026-06-08 16:15:18,NaN,7.41 ms,NaN,19.0 ms,NaN,24.5 ms,NaN,38.6 ms
2026-06-08 16:15:21,NaN,7.22 ms,NaN,18.4 ms,NaN,24.5 ms,NaN,40.3 ms
2026-06-08 16:15:24,NaN,7.13 ms,NaN,18.0 ms,NaN,24.4 ms,NaN,35.5 ms
2026-06-08 16:15:27,NaN,7.20 ms,NaN,18.2 ms,NaN,24.5 ms,NaN,39.5 ms
2026-06-08 16:15:30,NaN,7.32 ms,NaN,18.5 ms,NaN,24.5 ms,NaN,38.5 ms
2026-06-08 16:15:33,NaN,7.54 ms,NaN,19.3 ms,NaN,24.6 ms,NaN,43.0 ms
2026-06-08 16:15:36,NaN,8.25 ms,NaN,20.6 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 16:15:39,8.99 ms,NaN,21.6 ms,NaN,24.8 ms,NaN,45.3 ms,NaN
2026-06-08 16:15:42,7.20 ms,NaN,18.7 ms,NaN,24.5 ms,NaN,39.2 ms,NaN
2026-06-08 16:15:45,6.82 ms,NaN,17.2 ms,NaN,24.3 ms,NaN,33.8 ms,NaN
2026-06-08 16:15:48,6.33 ms,NaN,12.5 ms,NaN,23.8 ms,NaN,24.9 ms,NaN
2026-06-08 16:15:51,6.28 ms,NaN,12.5 ms,NaN,23.8 ms,NaN,25.0 ms,NaN
2026-06-08 16:15:54,6.28 ms,NaN,12.7 ms,NaN,23.9 ms,NaN,31.8 ms,NaN
2026-06-08 16:15:57,6.29 ms,NaN,12.9 ms,NaN,23.9 ms,NaN,31.8 ms,NaN
2026-06-08 16:16:00,6.47 ms,NaN,14.0 ms,NaN,24.0 ms,NaN,26.1 ms,NaN
2026-06-08 16:16:03,6.51 ms,NaN,13.7 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 16:16:06,6.59 ms,NaN,14.3 ms,NaN,24.0 ms,NaN,25.0 ms,NaN
2026-06-08 16:16:09,6.59 ms,NaN,14.1 ms,NaN,24.0 ms,NaN,25.0 ms,NaN
