"Time","prequal","roundrobin"
2026-05-15 19:18:15,0,48
2026-05-15 19:18:30,0,48
2026-05-15 19:18:45,0,49
2026-05-15 19:19:00,42,0
2026-05-15 19:19:15,50,0
2026-05-15 19:19:30,42,0
2026-05-15 19:19:45,45,0
2026-05-15 19:20:00,0,0
2026-05-15 19:20:15,0,45
2026-05-15 19:20:30,0,49
2026-05-15 19:20:45,0,47
2026-05-15 19:21:00,0,47
2026-05-15 19:21:15,0,0
2026-05-15 19:21:30,42,0
2026-05-15 19:21:45,46,0
2026-05-15 19:22:00,50,0
2026-05-15 19:22:15,49,0
2026-05-15 19:22:30,0,0
2026-05-15 19:22:45,0,47
2026-05-15 19:23:00,0,49
2026-05-15 19:23:15,0,47
2026-05-15 19:23:30,0,46
2026-05-15 19:23:45,45,0
2026-05-15 19:24:00,45,0
2026-05-15 19:24:15,43,0
2026-05-15 19:24:30,45,0
2026-05-15 19:24:45,0,0
2026-05-15 19:25:00,0,48
2026-05-15 19:25:15,0,46
2026-05-15 19:25:30,0,47
2026-05-15 19:25:45,0,47
2026-05-15 19:26:00,47,0
2026-05-15 19:26:15,42,0
2026-05-15 19:26:30,41,0
2026-05-15 19:26:45,43,0
2026-05-15 19:27:00,0,0
2026-05-15 19:27:15,0,45
2026-05-15 19:27:30,0,50
2026-05-15 19:27:45,0,49
2026-05-15 19:28:00,0,46
2026-05-15 19:28:15,0,0
2026-05-15 19:28:30,48,0
2026-05-15 19:28:45,42,0
2026-05-15 19:29:00,46,0
2026-05-15 19:29:15,45,0
2026-05-15 19:29:30,0,0
2026-05-15 19:29:45,0,48
2026-05-15 19:30:00,0,48
2026-05-15 19:30:15,0,47
2026-05-15 19:30:30,0,46
2026-05-15 19:30:45,42,0
2026-05-15 19:31:00,45,0
2026-05-15 19:31:15,49,0
2026-05-15 19:31:30,48,0
2026-05-15 19:31:45,0,0
2026-05-15 19:32:00,0,0
2026-05-15 19:32:15,0,0
2026-05-15 19:32:30,0,0
2026-05-15 19:32:45,0,0
2026-05-15 19:33:00,0,0
2026-05-15 19:33:15,0,0
