"Time","prequal p50","roundrobin p50","prequal p90","roundrobin p90","prequal p99","roundrobin p99","prequal p99.9","roundrobin p99.9"
2026-05-15 19:18:15,4.77 ms,3.31 ms,15.9 ms,39.2 ms,46.5 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:18:30,NaN,3.31 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:18:45,NaN,3.31 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:19:00,4.57 ms,3.31 ms,12.2 ms,39.2 ms,46.3 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:19:15,4.74 ms,3.31 ms,14.0 ms,39.2 ms,46.4 ms,49.0 ms,49.6 ms,49.9 ms
2026-05-15 19:19:30,4.76 ms,3.31 ms,14.0 ms,39.2 ms,46.4 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:19:45,4.78 ms,NaN,14.3 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:20:00,4.77 ms,NaN,14.3 ms,NaN,46.5 ms,NaN,49.7 ms,NaN
2026-05-15 19:20:15,4.77 ms,3.32 ms,14.5 ms,39.1 ms,46.5 ms,48.9 ms,49.8 ms,49.9 ms
2026-05-15 19:20:30,4.76 ms,3.31 ms,14.7 ms,39.2 ms,46.4 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:20:45,NaN,3.31 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:21:00,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:21:15,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:21:30,4.74 ms,3.31 ms,15.4 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:21:45,4.74 ms,3.31 ms,15.1 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:22:00,4.74 ms,NaN,14.6 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:22:15,4.75 ms,NaN,14.2 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:22:30,4.73 ms,NaN,13.9 ms,NaN,46.5 ms,NaN,49.7 ms,NaN
2026-05-15 19:22:45,4.74 ms,3.31 ms,14.0 ms,39.2 ms,46.5 ms,48.9 ms,49.8 ms,49.9 ms
2026-05-15 19:23:00,4.56 ms,3.31 ms,13.8 ms,39.2 ms,46.5 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:23:15,2.50 ms,3.31 ms,4.50 ms,39.2 ms,4.95 ms,48.9 ms,5.00 ms,49.9 ms
2026-05-15 19:23:30,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:23:45,4.59 ms,3.30 ms,13.6 ms,39.2 ms,46.5 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:24:00,4.72 ms,3.30 ms,13.9 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:24:15,4.75 ms,3.34 ms,14.4 ms,39.5 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:24:30,4.78 ms,NaN,14.6 ms,NaN,46.4 ms,NaN,49.6 ms,NaN
2026-05-15 19:24:45,4.78 ms,NaN,14.9 ms,NaN,46.5 ms,NaN,49.7 ms,NaN
2026-05-15 19:25:00,4.77 ms,3.31 ms,14.8 ms,39.2 ms,46.5 ms,49.0 ms,49.8 ms,49.9 ms
2026-05-15 19:25:15,4.78 ms,3.31 ms,15.3 ms,39.2 ms,46.7 ms,48.9 ms,50.0 ms,49.9 ms
2026-05-15 19:25:30,NaN,3.31 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:25:45,NaN,3.31 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:26:00,4.56 ms,3.31 ms,18.9 ms,39.2 ms,46.0 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:26:15,4.68 ms,3.31 ms,13.8 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:26:30,4.74 ms,3.31 ms,14.3 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:26:45,4.77 ms,NaN,14.9 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:27:00,4.82 ms,NaN,15.4 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:27:15,4.83 ms,3.34 ms,15.6 ms,39.0 ms,46.5 ms,49.0 ms,49.7 ms,50.0 ms
2026-05-15 19:27:30,4.84 ms,3.31 ms,15.2 ms,39.2 ms,46.5 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:27:45,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:28:00,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:28:15,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:28:30,4.71 ms,3.30 ms,14.6 ms,39.2 ms,46.4 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:28:45,4.75 ms,3.31 ms,14.8 ms,39.2 ms,46.4 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:29:00,4.76 ms,NaN,14.7 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:29:15,4.78 ms,NaN,14.8 ms,NaN,46.5 ms,NaN,49.7 ms,NaN
2026-05-15 19:29:30,4.80 ms,5 ms,14.9 ms,9.00 ms,46.5 ms,9.90 ms,49.7 ms,9.99 ms
2026-05-15 19:29:45,4.82 ms,3.31 ms,15.1 ms,39.1 ms,46.5 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:30:00,4.88 ms,3.31 ms,15.6 ms,39.2 ms,46.4 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:30:15,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:30:30,NaN,3.30 ms,NaN,39.2 ms,NaN,48.9 ms,NaN,49.9 ms
2026-05-15 19:30:45,4.51 ms,3.30 ms,11.6 ms,39.2 ms,46.3 ms,48.9 ms,49.6 ms,49.9 ms
2026-05-15 19:31:00,4.74 ms,3.30 ms,15.1 ms,39.2 ms,46.6 ms,48.9 ms,49.8 ms,49.9 ms
2026-05-15 19:31:15,4.79 ms,3.30 ms,15.0 ms,39.2 ms,46.5 ms,48.9 ms,49.7 ms,49.9 ms
2026-05-15 19:31:30,4.84 ms,NaN,15.2 ms,NaN,46.5 ms,NaN,49.7 ms,NaN
2026-05-15 19:31:45,4.87 ms,NaN,15.0 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:32:00,4.88 ms,NaN,15.1 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:32:15,4.87 ms,NaN,15.1 ms,NaN,46.4 ms,NaN,49.7 ms,NaN
2026-05-15 19:32:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-15 19:32:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-15 19:33:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-15 19:33:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
