"Time","prequal p50","wrr p50","prequal p90","wrr p90","prequal p99","wrr p99","prequal p99.9","wrr p99.9"
2026-05-23 15:13:15,5.61 ms,NaN,9.62 ms,NaN,22.9 ms,NaN,33.2 ms,NaN
2026-05-23 15:13:30,5.55 ms,NaN,9.61 ms,NaN,23.0 ms,NaN,38.2 ms,NaN
2026-05-23 15:13:45,5.60 ms,NaN,9.63 ms,NaN,22.9 ms,NaN,35.0 ms,NaN
2026-05-23 15:14:00,5.60 ms,NaN,9.65 ms,NaN,23.1 ms,NaN,39.2 ms,NaN
2026-05-23 15:14:15,5.62 ms,3.97 ms,9.63 ms,21.4 ms,22.9 ms,82.9 ms,34.5 ms,104 ms
2026-05-23 15:14:30,5.63 ms,3.84 ms,9.67 ms,48.2 ms,23.3 ms,96.6 ms,42.9 ms,210 ms
2026-05-23 15:14:45,5.58 ms,3.74 ms,9.60 ms,55.9 ms,23.2 ms,97.3 ms,73.9 ms,213 ms
2026-05-23 15:15:00,NaN,3.68 ms,NaN,62.5 ms,NaN,98.0 ms,NaN,220 ms
2026-05-23 15:15:15,NaN,3.78 ms,NaN,61.6 ms,NaN,97.8 ms,NaN,217 ms
2026-05-23 15:15:30,NaN,3.94 ms,NaN,57.4 ms,NaN,97.4 ms,NaN,214 ms
2026-05-23 15:15:45,NaN,3.99 ms,NaN,55.1 ms,NaN,97.0 ms,NaN,209 ms
2026-05-23 15:16:00,5.60 ms,3.92 ms,9.67 ms,55.2 ms,23.3 ms,97.1 ms,48.1 ms,210 ms
2026-05-23 15:16:15,5.59 ms,3.74 ms,9.66 ms,58.9 ms,23.3 ms,97.7 ms,46.9 ms,217 ms
2026-05-23 15:16:30,5.61 ms,NaN,9.65 ms,NaN,23.2 ms,NaN,43.0 ms,NaN
2026-05-23 15:16:45,5.62 ms,NaN,9.66 ms,NaN,23.3 ms,NaN,43.6 ms,NaN
2026-05-23 15:17:00,5.65 ms,NaN,9.67 ms,NaN,23.3 ms,NaN,42.4 ms,NaN
2026-05-23 15:17:15,5.63 ms,NaN,9.68 ms,NaN,23.4 ms,NaN,46.7 ms,NaN
2026-05-23 15:17:30,5.65 ms,NaN,9.68 ms,NaN,23.4 ms,NaN,47.4 ms,NaN
2026-05-23 15:17:45,5.64 ms,3.75 ms,9.69 ms,50.1 ms,23.5 ms,96.3 ms,51.2 ms,197 ms
2026-05-23 15:18:00,5.73 ms,3.68 ms,9.72 ms,59.1 ms,23.4 ms,97.1 ms,44.9 ms,201 ms
2026-05-23 15:18:15,NaN,3.73 ms,NaN,56.2 ms,NaN,97.1 ms,NaN,209 ms
2026-05-23 15:18:30,NaN,3.76 ms,NaN,58.0 ms,NaN,97.3 ms,NaN,211 ms
2026-05-23 15:18:45,NaN,3.86 ms,NaN,54.7 ms,NaN,97.2 ms,NaN,212 ms
2026-05-23 15:19:00,NaN,3.79 ms,NaN,60.7 ms,NaN,97.4 ms,NaN,210 ms
2026-05-23 15:19:15,NaN,3.77 ms,NaN,60.5 ms,NaN,97.4 ms,NaN,209 ms
2026-05-23 15:19:30,5.64 ms,3.65 ms,9.68 ms,63.1 ms,23.0 ms,97.6 ms,29.8 ms,209 ms
2026-05-23 15:19:45,5.63 ms,3.78 ms,9.66 ms,46.3 ms,23.0 ms,95.3 ms,34.1 ms,184 ms
2026-05-23 15:20:00,5.63 ms,NaN,9.66 ms,NaN,23.1 ms,NaN,40.1 ms,NaN
2026-05-23 15:20:15,5.62 ms,NaN,9.64 ms,NaN,23.0 ms,NaN,38.8 ms,NaN
2026-05-23 15:20:30,5.67 ms,NaN,9.68 ms,NaN,23.2 ms,NaN,46.0 ms,NaN
2026-05-23 15:20:45,5.64 ms,NaN,9.66 ms,NaN,23.2 ms,NaN,45.1 ms,NaN
2026-05-23 15:21:00,5.64 ms,3.92 ms,9.68 ms,33.3 ms,23.4 ms,88.9 ms,51.0 ms,99.3 ms
2026-05-23 15:21:15,5.52 ms,4.04 ms,9.63 ms,48.1 ms,23.1 ms,96.2 ms,46.4 ms,204 ms
2026-05-23 15:21:30,5.15 ms,3.93 ms,9.55 ms,53.0 ms,22.9 ms,97.1 ms,36.3 ms,213 ms
2026-05-23 15:21:45,NaN,3.99 ms,NaN,55.3 ms,NaN,97.2 ms,NaN,212 ms
2026-05-23 15:22:00,NaN,4.03 ms,NaN,51.9 ms,NaN,97.5 ms,NaN,220 ms
2026-05-23 15:22:15,NaN,4.26 ms,NaN,48.0 ms,NaN,97.2 ms,NaN,221 ms
2026-05-23 15:22:30,NaN,4.36 ms,NaN,47.3 ms,NaN,97.3 ms,NaN,223 ms
2026-05-23 15:22:45,5.83 ms,4.44 ms,9.77 ms,46.8 ms,23.3 ms,96.3 ms,35.9 ms,215 ms
2026-05-23 15:23:00,5.74 ms,4.40 ms,9.72 ms,46.2 ms,23.3 ms,94.7 ms,40.9 ms,188 ms
2026-05-23 15:23:15,5.73 ms,NaN,9.72 ms,NaN,23.4 ms,NaN,44.4 ms,NaN
2026-05-23 15:23:30,5.66 ms,NaN,9.67 ms,NaN,23.2 ms,NaN,43.7 ms,NaN
2026-05-23 15:23:45,5.61 ms,NaN,9.63 ms,NaN,23.0 ms,NaN,38.1 ms,NaN
2026-05-23 15:24:00,5.58 ms,NaN,9.62 ms,NaN,22.8 ms,NaN,25.0 ms,NaN
2026-05-23 15:24:15,5.55 ms,NaN,9.61 ms,NaN,22.8 ms,NaN,32.5 ms,NaN
2026-05-23 15:24:30,5.55 ms,3.96 ms,9.62 ms,41.1 ms,23.0 ms,96.4 ms,41.2 ms,222 ms
2026-05-23 15:24:45,5.37 ms,3.94 ms,9.55 ms,47.6 ms,23.1 ms,97.5 ms,48.0 ms,224 ms
2026-05-23 15:25:00,NaN,3.89 ms,NaN,51.9 ms,NaN,98.0 ms,NaN,226 ms
2026-05-23 15:25:15,NaN,3.83 ms,NaN,60.1 ms,NaN,98.2 ms,NaN,224 ms
2026-05-23 15:25:30,NaN,3.89 ms,NaN,57.4 ms,NaN,97.7 ms,NaN,220 ms
2026-05-23 15:25:45,NaN,4.06 ms,NaN,49.4 ms,NaN,96.5 ms,NaN,207 ms
2026-05-23 15:26:00,6.22 ms,4.19 ms,12.1 ms,47.2 ms,24.6 ms,95.9 ms,88.3 ms,205 ms
2026-05-23 15:26:15,5.77 ms,4.26 ms,9.73 ms,46.0 ms,23.4 ms,95.1 ms,43.1 ms,195 ms
2026-05-23 15:26:30,5.71 ms,4.25 ms,9.70 ms,49.7 ms,23.2 ms,97.2 ms,41.9 ms,219 ms
2026-05-23 15:26:45,5.67 ms,2.50 ms,9.67 ms,4.50 ms,23.0 ms,4.95 ms,34.9 ms,5.00 ms
2026-05-23 15:27:00,5.69 ms,NaN,9.66 ms,NaN,23.0 ms,NaN,32.1 ms,NaN
2026-05-23 15:27:15,5.73 ms,NaN,9.69 ms,NaN,23.1 ms,NaN,33.1 ms,NaN
2026-05-23 15:27:30,5.72 ms,NaN,9.71 ms,NaN,23.3 ms,NaN,41.1 ms,NaN
2026-05-23 15:27:45,5.70 ms,NaN,9.72 ms,NaN,23.4 ms,NaN,42.6 ms,NaN
2026-05-23 15:28:00,5.61 ms,NaN,9.68 ms,NaN,23.4 ms,NaN,46.2 ms,NaN
2026-05-23 15:28:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
