"Time","prequal","wrr"
2026-05-23 15:13:15,7.17K req/s,0 req/s
2026-05-23 15:13:30,7.59K req/s,0 req/s
2026-05-23 15:13:45,7.57K req/s,0 req/s
2026-05-23 15:14:00,7.55K req/s,0 req/s
2026-05-23 15:14:15,5.42K req/s,410 req/s
2026-05-23 15:14:30,2.87K req/s,1.46K req/s
2026-05-23 15:14:45,371 req/s,2.49K req/s
2026-05-23 15:15:00,0 req/s,3.10K req/s
2026-05-23 15:15:15,0 req/s,3.07K req/s
2026-05-23 15:15:30,0 req/s,3.04K req/s
2026-05-23 15:15:45,0 req/s,2.84K req/s
2026-05-23 15:16:00,1.01K req/s,1.82K req/s
2026-05-23 15:16:15,3.50K req/s,818 req/s
2026-05-23 15:16:30,6.01K req/s,0 req/s
2026-05-23 15:16:45,7.48K req/s,0 req/s
2026-05-23 15:17:00,7.49K req/s,0 req/s
2026-05-23 15:17:15,7.47K req/s,0 req/s
2026-05-23 15:17:30,6.45K req/s,0 req/s
2026-05-23 15:17:45,3.95K req/s,909 req/s
2026-05-23 15:18:00,1.46K req/s,1.91K req/s
2026-05-23 15:18:15,0 req/s,3.01K req/s
2026-05-23 15:18:30,0 req/s,3.15K req/s
2026-05-23 15:18:45,0 req/s,3.16K req/s
2026-05-23 15:19:00,0 req/s,3.05K req/s
2026-05-23 15:19:15,0 req/s,2.27K req/s
2026-05-23 15:19:30,2.41K req/s,1.25K req/s
2026-05-23 15:19:45,4.93K req/s,265 req/s
2026-05-23 15:20:00,7.42K req/s,0 req/s
2026-05-23 15:20:15,7.54K req/s,0 req/s
2026-05-23 15:20:30,7.45K req/s,0 req/s
2026-05-23 15:20:45,7.46K req/s,0 req/s
2026-05-23 15:21:00,5.03K req/s,512 req/s
2026-05-23 15:21:15,2.60K req/s,1.48K req/s
2026-05-23 15:21:30,97.2 req/s,2.50K req/s
2026-05-23 15:21:45,0 req/s,3.05K req/s
2026-05-23 15:22:00,0 req/s,3.16K req/s
2026-05-23 15:22:15,0 req/s,3.20K req/s
2026-05-23 15:22:30,0 req/s,2.84K req/s
2026-05-23 15:22:45,1.27K req/s,1.77K req/s
2026-05-23 15:23:00,3.75K req/s,702 req/s
2026-05-23 15:23:15,6.21K req/s,0 req/s
2026-05-23 15:23:30,7.45K req/s,0 req/s
2026-05-23 15:23:45,7.52K req/s,0 req/s
2026-05-23 15:24:00,7.57K req/s,0 req/s
2026-05-23 15:24:15,6.29K req/s,0 req/s
2026-05-23 15:24:30,3.74K req/s,1.15K req/s
2026-05-23 15:24:45,1.23K req/s,2.17K req/s
2026-05-23 15:25:00,0 req/s,3.16K req/s
2026-05-23 15:25:15,0 req/s,3.04K req/s
2026-05-23 15:25:30,0 req/s,3.08K req/s
2026-05-23 15:25:45,0 req/s,3.20K req/s
2026-05-23 15:26:00,177 req/s,2.28K req/s
2026-05-23 15:26:15,2.65K req/s,1.22K req/s
2026-05-23 15:26:30,5.14K req/s,112 req/s
2026-05-23 15:26:45,7.47K req/s,0.0222 req/s
2026-05-23 15:27:00,7.45K req/s,0 req/s
2026-05-23 15:27:15,7.43K req/s,0 req/s
2026-05-23 15:27:30,7.22K req/s,0 req/s
2026-05-23 15:27:45,4.76K req/s,0 req/s
2026-05-23 15:28:00,2.29K req/s,0 req/s
2026-05-23 15:28:15,0 req/s,0 req/s
