"Time","prequal","roundrobin"
2026-06-08 15:55:33,0,9
2026-06-08 15:55:36,0,10
2026-06-08 15:55:39,0,9
2026-06-08 15:55:42,0,8
2026-06-08 15:55:45,0,7
2026-06-08 15:55:48,0,7
2026-06-08 15:55:51,0,0
2026-06-08 15:55:54,0,0
2026-06-08 15:55:57,0,0
2026-06-08 15:56:00,0,0
2026-06-08 15:56:03,29,0
2026-06-08 15:56:06,32,0
2026-06-08 15:56:09,34,0
2026-06-08 15:56:12,34,0
2026-06-08 15:56:15,32,0
2026-06-08 15:56:18,31,0
2026-06-08 15:56:21,30,0
2026-06-08 15:56:24,24,0
2026-06-08 15:56:27,31,0
2026-06-08 15:56:30,35,0
2026-06-08 15:56:33,0,0
2026-06-08 15:56:36,0,0
2026-06-08 15:56:39,0,0
2026-06-08 15:56:42,0,30
2026-06-08 15:56:45,0,45
2026-06-08 15:56:48,0,33
2026-06-08 15:56:51,0,26
2026-06-08 15:56:54,0,33
2026-06-08 15:56:57,0,35
2026-06-08 15:57:00,0,28
2026-06-08 15:57:03,0,40
2026-06-08 15:57:06,0,38
2026-06-08 15:57:09,0,26
2026-06-08 15:57:12,0,0
2026-06-08 15:57:15,0,0
2026-06-08 15:57:18,0,0
2026-06-08 15:57:21,0,0
2026-06-08 15:57:24,23,0
2026-06-08 15:57:27,27,0
2026-06-08 15:57:30,22,0
2026-06-08 15:57:33,24,0
2026-06-08 15:57:36,16,0
2026-06-08 15:57:39,22,0
2026-06-08 15:57:42,18,0
2026-06-08 15:57:45,22,0
2026-06-08 15:57:48,16,0
2026-06-08 15:57:51,20,0
2026-06-08 15:57:54,0,0
2026-06-08 15:57:57,0,0
2026-06-08 15:58:00,0,0
2026-06-08 15:58:03,0,33
2026-06-08 15:58:06,0,24
2026-06-08 15:58:09,0,35
2026-06-08 15:58:12,0,31
2026-06-08 15:58:15,0,26
2026-06-08 15:58:18,0,25
2026-06-08 15:58:21,0,33
2026-06-08 15:58:24,0,31
2026-06-08 15:58:27,0,26
2026-06-08 15:58:30,0,27
2026-06-08 15:58:33,0,0
2026-06-08 15:58:36,0,0
2026-06-08 15:58:39,0,0
2026-06-08 15:58:42,0,0
2026-06-08 15:58:45,44,0
2026-06-08 15:58:48,39,0
2026-06-08 15:58:51,40,0
2026-06-08 15:58:54,32,0
2026-06-08 15:58:57,39,0
2026-06-08 15:59:00,45,0
2026-06-08 15:59:03,37,0
2026-06-08 15:59:06,37,0
2026-06-08 15:59:09,33,0
2026-06-08 15:59:12,38,0
2026-06-08 15:59:15,0,0
2026-06-08 15:59:18,0,0
2026-06-08 15:59:21,0,0
2026-06-08 15:59:24,0,41
2026-06-08 15:59:27,0,43
2026-06-08 15:59:30,0,34
2026-06-08 15:59:33,0,34
2026-06-08 15:59:36,0,31
2026-06-08 15:59:39,0,42
2026-06-08 15:59:42,0,39
2026-06-08 15:59:45,0,39
2026-06-08 15:59:48,0,40
2026-06-08 15:59:51,0,33
2026-06-08 15:59:54,0,0
2026-06-08 15:59:57,0,0
2026-06-08 16:00:00,0,0
2026-06-08 16:00:03,39,0
2026-06-08 16:00:06,23,0
2026-06-08 16:00:09,27,0
2026-06-08 16:00:12,23,0
2026-06-08 16:00:15,27,0
2026-06-08 16:00:18,22,0
2026-06-08 16:00:21,21,0
2026-06-08 16:00:24,30,0
2026-06-08 16:00:27,21,0
2026-06-08 16:00:30,22,0
2026-06-08 16:00:33,0,0
2026-06-08 16:00:36,0,0
2026-06-08 16:00:39,0,0
2026-06-08 16:00:42,0,0
2026-06-08 16:00:45,0,31
2026-06-08 16:00:48,0,28
2026-06-08 16:00:51,0,38
2026-06-08 16:00:54,0,19
2026-06-08 16:00:57,0,32
2026-06-08 16:01:00,0,44
2026-06-08 16:01:03,0,30
2026-06-08 16:01:06,0,23
2026-06-08 16:01:09,0,36
2026-06-08 16:01:12,0,32
2026-06-08 16:01:15,0,0
2026-06-08 16:01:18,0,0
2026-06-08 16:01:21,0,0
2026-06-08 16:01:24,48,0
2026-06-08 16:01:27,40,0
2026-06-08 16:01:30,41,0
2026-06-08 16:01:33,42,0
2026-06-08 16:01:36,38,0
2026-06-08 16:01:39,43,0
2026-06-08 16:01:42,41,0
2026-06-08 16:01:45,42,0
2026-06-08 16:01:48,34,0
2026-06-08 16:01:51,38,0
2026-06-08 16:01:54,0,0
2026-06-08 16:01:57,0,0
2026-06-08 16:02:00,0,0
2026-06-08 16:02:03,0,44
2026-06-08 16:02:06,0,45
2026-06-08 16:02:09,0,46
2026-06-08 16:02:12,0,42
2026-06-08 16:02:15,0,40
2026-06-08 16:02:18,0,32
2026-06-08 16:02:21,0,46
2026-06-08 16:02:24,0,32
2026-06-08 16:02:27,0,30
2026-06-08 16:02:30,0,38
2026-06-08 16:02:33,0,0
2026-06-08 16:02:36,0,0
2026-06-08 16:02:39,0,0
2026-06-08 16:02:42,0,0
2026-06-08 16:02:45,48,0
2026-06-08 16:02:48,39,0
2026-06-08 16:02:51,42,0
2026-06-08 16:02:54,41,0
2026-06-08 16:02:57,37,0
2026-06-08 16:03:00,35,0
2026-06-08 16:03:03,34,0
2026-06-08 16:03:06,33,0
2026-06-08 16:03:09,35,0
2026-06-08 16:03:12,34,0
2026-06-08 16:03:15,0,0
2026-06-08 16:03:18,0,0
2026-06-08 16:03:21,0,0
2026-06-08 16:03:24,0,46
2026-06-08 16:03:27,0,47
2026-06-08 16:03:30,0,37
2026-06-08 16:03:33,0,38
2026-06-08 16:03:36,0,42
2026-06-08 16:03:39,0,41
2026-06-08 16:03:42,0,43
2026-06-08 16:03:45,0,34
2026-06-08 16:03:48,0,43
2026-06-08 16:03:51,0,44
2026-06-08 16:03:54,0,0
2026-06-08 16:03:57,0,0
2026-06-08 16:04:00,0,0
2026-06-08 16:04:03,0,0
2026-06-08 16:04:06,48,0
2026-06-08 16:04:09,47,0
2026-06-08 16:04:12,49,0
2026-06-08 16:04:15,45,0
2026-06-08 16:04:18,47,0
2026-06-08 16:04:21,43,0
2026-06-08 16:04:24,42,0
2026-06-08 16:04:27,49,0
2026-06-08 16:04:30,44,0
2026-06-08 16:04:33,47,0
2026-06-08 16:04:36,0,0
2026-06-08 16:04:39,0,0
2026-06-08 16:04:42,0,0
2026-06-08 16:04:45,0,33
2026-06-08 16:04:48,0,32
2026-06-08 16:04:51,0,35
2026-06-08 16:04:54,0,31
2026-06-08 16:04:57,0,30
2026-06-08 16:05:00,0,33
2026-06-08 16:05:03,0,25
2026-06-08 16:05:06,0,39
2026-06-08 16:05:09,0,43
2026-06-08 16:05:12,0,30
2026-06-08 16:05:15,0,0
2026-06-08 16:05:18,0,0
2026-06-08 16:05:21,0,0
2026-06-08 16:05:24,0,0
2026-06-08 16:05:27,49,0
2026-06-08 16:05:30,50,0
2026-06-08 16:05:33,45,0
2026-06-08 16:05:36,47,0
2026-06-08 16:05:39,48,0
2026-06-08 16:05:42,49,0
2026-06-08 16:05:45,48,0
2026-06-08 16:05:48,45,0
2026-06-08 16:05:51,47,0
2026-06-08 16:05:54,45,0
2026-06-08 16:05:57,0,0
2026-06-08 16:06:00,0,0
2026-06-08 16:06:03,0,0
2026-06-08 16:06:06,0,45
2026-06-08 16:06:09,0,35
2026-06-08 16:06:12,0,38
2026-06-08 16:06:15,0,31
2026-06-08 16:06:18,0,33
2026-06-08 16:06:21,0,41
2026-06-08 16:06:24,0,35
2026-06-08 16:06:27,0,37
2026-06-08 16:06:30,0,42
2026-06-08 16:06:33,0,32
2026-06-08 16:06:36,0,0
2026-06-08 16:06:39,0,0
2026-06-08 16:06:42,0,0
2026-06-08 16:06:45,0,0
2026-06-08 16:06:48,44,0
2026-06-08 16:06:51,46,0
2026-06-08 16:06:54,47,0
2026-06-08 16:06:57,49,0
