"Time","prequal p50","roundrobin p50","prequal p90","roundrobin p90","prequal p99","roundrobin p99","prequal p99.9","roundrobin p99.9"
2026-06-08 15:55:33,NaN,7.09 ms,NaN,13.8 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:36,NaN,7.10 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:39,NaN,7.09 ms,NaN,13.8 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:42,NaN,7.09 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:45,NaN,7.07 ms,NaN,13.7 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:48,NaN,7.10 ms,NaN,13.9 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:51,NaN,7.10 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:54,NaN,7.10 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:55:57,NaN,7.10 ms,NaN,14.4 ms,NaN,23.9 ms,NaN,24.9 ms
2026-06-08 15:56:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:56:03,7.25 ms,NaN,17.6 ms,NaN,25.3 ms,NaN,47.5 ms,NaN
2026-06-08 15:56:06,7.02 ms,NaN,15.4 ms,NaN,24.3 ms,NaN,42.5 ms,NaN
2026-06-08 15:56:09,6.98 ms,NaN,15.0 ms,NaN,24.2 ms,NaN,38.2 ms,NaN
2026-06-08 15:56:12,6.90 ms,NaN,14.2 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:15,6.90 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:18,6.90 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:21,6.90 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:24,6.88 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:27,6.86 ms,NaN,14.2 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:30,6.89 ms,NaN,14.5 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:33,6.94 ms,NaN,14.8 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:36,6.97 ms,NaN,15.0 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:56:39,7.01 ms,NaN,15.3 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
