"Time","prequal","roundrobin"
2026-06-08 15:55:33,0 req/s,3.35K req/s
2026-06-08 15:55:36,0 req/s,3.35K req/s
2026-06-08 15:55:39,0 req/s,3.35K req/s
2026-06-08 15:55:42,0 req/s,3.35K req/s
2026-06-08 15:55:45,0 req/s,3.35K req/s
2026-06-08 15:55:48,0 req/s,3.35K req/s
2026-06-08 15:55:51,0 req/s,3.19K req/s
2026-06-08 15:55:54,0 req/s,2.08K req/s
2026-06-08 15:55:57,0 req/s,960 req/s
2026-06-08 15:56:00,0 req/s,0 req/s
2026-06-08 15:56:03,510 req/s,0 req/s
2026-06-08 15:56:06,1.55K req/s,0 req/s
2026-06-08 15:56:09,2.59K req/s,0 req/s
2026-06-08 15:56:12,3.35K req/s,0 req/s
2026-06-08 15:56:15,3.35K req/s,0 req/s
2026-06-08 15:56:18,3.35K req/s,0 req/s
2026-06-08 15:56:21,3.35K req/s,0 req/s
2026-06-08 15:56:24,3.35K req/s,0 req/s
2026-06-08 15:56:27,3.35K req/s,0 req/s
2026-06-08 15:56:30,3.35K req/s,0 req/s
2026-06-08 15:56:33,2.79K req/s,0 req/s
2026-06-08 15:56:36,1.67K req/s,0 req/s
2026-06-08 15:56:39,557 req/s,0 req/s
2026-06-08 15:56:42,0 req/s,414 req/s
2026-06-08 15:56:45,0 req/s,1.65K req/s
2026-06-08 15:56:48,0 req/s,2.88K req/s
2026-06-08 15:56:51,0 req/s,3.63K req/s
2026-06-08 15:56:54,0 req/s,3.59K req/s
2026-06-08 15:56:57,0 req/s,3.58K req/s
2026-06-08 15:57:00,0 req/s,3.65K req/s
2026-06-08 15:57:03,0 req/s,3.69K req/s
2026-06-08 15:57:06,0 req/s,3.70K req/s
2026-06-08 15:57:09,0 req/s,3.70K req/s
2026-06-08 15:57:12,0 req/s,3.27K req/s
2026-06-08 15:57:15,0 req/s,2.04K req/s
2026-06-08 15:57:18,0 req/s,807 req/s
2026-06-08 15:57:21,0 req/s,0 req/s
2026-06-08 15:57:24,855 req/s,0 req/s
2026-06-08 15:57:27,2.09K req/s,0 req/s
2026-06-08 15:57:30,3.32K req/s,0 req/s
2026-06-08 15:57:33,3.70K req/s,0 req/s
2026-06-08 15:57:36,3.70K req/s,0 req/s
2026-06-08 15:57:39,3.70K req/s,0 req/s
2026-06-08 15:57:42,3.70K req/s,0 req/s
2026-06-08 15:57:45,3.70K req/s,0 req/s
2026-06-08 15:57:48,3.70K req/s,0 req/s
2026-06-08 15:57:51,3.70K req/s,0 req/s
2026-06-08 15:57:54,2.83K req/s,0 req/s
2026-06-08 15:57:57,1.60K req/s,0 req/s
2026-06-08 15:58:00,367 req/s,0 req/s
2026-06-08 15:58:03,0 req/s,611 req/s
2026-06-08 15:58:06,0 req/s,1.99K req/s
2026-06-08 15:58:09,0 req/s,3.22K req/s
2026-06-08 15:58:12,0 req/s,3.78K req/s
2026-06-08 15:58:15,0 req/s,3.71K req/s
2026-06-08 15:58:18,0 req/s,3.77K req/s
2026-06-08 15:58:21,0 req/s,3.83K req/s
2026-06-08 15:58:24,0 req/s,3.90K req/s
2026-06-08 15:58:27,0 req/s,3.99K req/s
2026-06-08 15:58:30,0 req/s,4.09K req/s
2026-06-08 15:58:33,0 req/s,3.32K req/s
2026-06-08 15:58:36,0 req/s,1.94K req/s
2026-06-08 15:58:39,0 req/s,604 req/s
2026-06-08 15:58:42,0 req/s,0 req/s
2026-06-08 15:58:45,1.20K req/s,0 req/s
2026-06-08 15:58:48,2.58K req/s,0 req/s
2026-06-08 15:58:51,3.96K req/s,0 req/s
2026-06-08 15:58:54,4.14K req/s,0 req/s
2026-06-08 15:58:57,4.15K req/s,0 req/s
2026-06-08 15:59:00,4.14K req/s,0 req/s
2026-06-08 15:59:03,4.14K req/s,0 req/s
2026-06-08 15:59:06,4.14K req/s,0 req/s
2026-06-08 15:59:09,4.14K req/s,0 req/s
2026-06-08 15:59:12,4.15K req/s,0 req/s
2026-06-08 15:59:15,2.91K req/s,0 req/s
2026-06-08 15:59:18,1.53K req/s,0 req/s
2026-06-08 15:59:21,147 req/s,0 req/s
2026-06-08 15:59:24,0 req/s,730 req/s
2026-06-08 15:59:27,0 req/s,2.17K req/s
2026-06-08 15:59:30,0 req/s,3.47K req/s
2026-06-08 15:59:33,0 req/s,4.05K req/s
2026-06-08 15:59:36,0 req/s,4.14K req/s
2026-06-08 15:59:39,0 req/s,4.31K req/s
2026-06-08 15:59:42,0 req/s,4.49K req/s
2026-06-08 15:59:45,0 req/s,4.37K req/s
2026-06-08 15:59:48,0 req/s,4.32K req/s
2026-06-08 15:59:51,0 req/s,4.31K req/s
2026-06-08 15:59:54,0 req/s,3.21K req/s
2026-06-08 15:59:57,0 req/s,1.79K req/s
2026-06-08 16:00:00,0 req/s,302 req/s
2026-06-08 16:00:03,80 req/s,0 req/s
2026-06-08 16:00:06,1.55K req/s,0 req/s
2026-06-08 16:00:09,3.07K req/s,0 req/s
2026-06-08 16:00:12,4.53K req/s,0 req/s
2026-06-08 16:00:15,4.58K req/s,0 req/s
2026-06-08 16:00:18,4.58K req/s,0 req/s
2026-06-08 16:00:21,4.58K req/s,0 req/s
2026-06-08 16:00:24,4.58K req/s,0 req/s
2026-06-08 16:00:27,4.58K req/s,0 req/s
2026-06-08 16:00:30,4.58K req/s,0 req/s
2026-06-08 16:00:33,4.48K req/s,0 req/s
2026-06-08 16:00:36,2.95K req/s,0 req/s
2026-06-08 16:00:39,1.43K req/s,0 req/s
2026-06-08 16:00:42,0 req/s,0 req/s
2026-06-08 16:00:45,0 req/s,1.14K req/s
