"Time","prequal","roundrobin"
2026-05-15 19:18:15,677 req/s,2.75K req/s
2026-05-15 19:18:30,0 req/s,4.29K req/s
2026-05-15 19:18:45,0 req/s,4.65K req/s
2026-05-15 19:19:00,557 req/s,3.46K req/s
2026-05-15 19:19:15,2.62K req/s,1.91K req/s
2026-05-15 19:19:30,4.68K req/s,358 req/s
2026-05-15 19:19:45,6.19K req/s,0 req/s
2026-05-15 19:20:00,5.64K req/s,0 req/s
2026-05-15 19:20:15,3.58K req/s,547 req/s
2026-05-15 19:20:30,1.52K req/s,2.10K req/s
2026-05-15 19:20:45,0 req/s,3.65K req/s
2026-05-15 19:21:00,0 req/s,4.65K req/s
2026-05-15 19:21:15,0 req/s,4.10K req/s
2026-05-15 19:21:30,1.75K req/s,2.55K req/s
2026-05-15 19:21:45,3.82K req/s,1.00K req/s
2026-05-15 19:22:00,5.88K req/s,0 req/s
2026-05-15 19:22:15,6.20K req/s,0 req/s
2026-05-15 19:22:30,4.46K req/s,0 req/s
2026-05-15 19:22:45,2.39K req/s,1.46K req/s
2026-05-15 19:23:00,325 req/s,3.00K req/s
2026-05-15 19:23:15,0.0222 req/s,4.56K req/s
2026-05-15 19:23:30,0 req/s,4.65K req/s
2026-05-15 19:23:45,917 req/s,3.20K req/s
2026-05-15 19:24:00,2.99K req/s,1.64K req/s
2026-05-15 19:24:15,5.04K req/s,89.3 req/s
2026-05-15 19:24:30,6.19K req/s,0 req/s
2026-05-15 19:24:45,5.28K req/s,0 req/s
2026-05-15 19:25:00,3.22K req/s,825 req/s
2026-05-15 19:25:15,1.16K req/s,2.38K req/s
2026-05-15 19:25:30,0 req/s,3.92K req/s
2026-05-15 19:25:45,0 req/s,4.65K req/s
2026-05-15 19:26:00,48.3 req/s,3.82K req/s
2026-05-15 19:26:15,2.14K req/s,2.28K req/s
2026-05-15 19:26:30,4.19K req/s,727 req/s
2026-05-15 19:26:45,6.17K req/s,0 req/s
2026-05-15 19:27:00,6.07K req/s,0 req/s
2026-05-15 19:27:15,4.02K req/s,184 req/s
2026-05-15 19:27:30,1.99K req/s,1.73K req/s
2026-05-15 19:27:45,0 req/s,3.28K req/s
2026-05-15 19:28:00,0 req/s,4.65K req/s
2026-05-15 19:28:15,0 req/s,4.47K req/s
2026-05-15 19:28:30,1.27K req/s,2.92K req/s
2026-05-15 19:28:45,3.32K req/s,1.36K req/s
2026-05-15 19:29:00,5.37K req/s,0 req/s
2026-05-15 19:29:15,6.15K req/s,0 req/s
2026-05-15 19:29:30,4.89K req/s,0.133 req/s
2026-05-15 19:29:45,2.84K req/s,1.10K req/s
2026-05-15 19:30:00,786 req/s,2.65K req/s
2026-05-15 19:30:15,0 req/s,4.20K req/s
2026-05-15 19:30:30,0 req/s,4.66K req/s
2026-05-15 19:30:45,433 req/s,3.56K req/s
2026-05-15 19:31:00,2.47K req/s,2.01K req/s
2026-05-15 19:31:15,4.51K req/s,451 req/s
2026-05-15 19:31:30,6.12K req/s,0 req/s
2026-05-15 19:31:45,5.70K req/s,0 req/s
2026-05-15 19:32:00,3.66K req/s,0 req/s
2026-05-15 19:32:15,1.62K req/s,0 req/s
2026-05-15 19:32:30,0 req/s,0 req/s
2026-05-15 19:32:45,0 req/s,0 req/s
2026-05-15 19:33:00,0 req/s,0 req/s
2026-05-15 19:33:15,0 req/s,0 req/s
