"Time","prequal","wrr"
2026-06-08 15:25:06,0,1
2026-06-08 15:25:09,0,1
2026-06-08 15:25:12,0,0
2026-06-08 15:25:15,0,1
2026-06-08 15:25:18,0,1
2026-06-08 15:25:21,0,1
2026-06-08 15:25:24,0,0
2026-06-08 15:25:27,0,0
2026-06-08 15:25:30,0,0
2026-06-08 15:25:33,0,0
2026-06-08 15:25:36,0,0
2026-06-08 15:25:39,0,0
2026-06-08 15:25:42,0,0
2026-06-08 15:25:45,0,0
2026-06-08 15:25:48,0,0
2026-06-08 15:25:51,43,0
2026-06-08 15:25:54,0,0
2026-06-08 15:25:57,0,0
2026-06-08 15:26:00,0,0
2026-06-08 15:26:03,0,0
2026-06-08 15:26:06,0,0
2026-06-08 15:26:09,0,0
2026-06-08 15:26:12,0,0
2026-06-08 15:26:15,0,4
2026-06-08 15:26:18,0,8
2026-06-08 15:26:21,0,6
2026-06-08 15:26:24,0,7
2026-06-08 15:26:27,0,5
2026-06-08 15:26:30,0,8
2026-06-08 15:26:33,0,6
2026-06-08 15:26:36,0,11
2026-06-08 15:26:39,0,9
2026-06-08 15:26:42,0,9
2026-06-08 15:26:45,0,0
2026-06-08 15:26:48,0,0
2026-06-08 15:26:51,0,0
2026-06-08 15:26:54,0,0
2026-06-08 15:26:57,47,0
2026-06-08 15:27:00,37,0
2026-06-08 15:27:03,42,0
2026-06-08 15:27:06,46,0
2026-06-08 15:27:09,38,0
2026-06-08 15:27:12,44,0
2026-06-08 15:27:15,43,0
2026-06-08 15:27:18,44,0
2026-06-08 15:27:21,40,0
2026-06-08 15:27:24,40,0
2026-06-08 15:27:27,0,0
2026-06-08 15:27:30,0,0
2026-06-08 15:27:33,0,0
2026-06-08 15:27:36,0,10
2026-06-08 15:27:39,0,10
2026-06-08 15:27:42,0,13
2026-06-08 15:27:45,0,9
2026-06-08 15:27:48,0,9
2026-06-08 15:27:51,0,10
2026-06-08 15:27:54,0,10
2026-06-08 15:27:57,0,11
2026-06-08 15:28:00,0,10
2026-06-08 15:28:03,0,11
2026-06-08 15:28:06,0,0
2026-06-08 15:28:09,0,0
2026-06-08 15:28:12,0,0
2026-06-08 15:28:15,23,0
2026-06-08 15:28:18,7,0
2026-06-08 15:28:21,7,0
2026-06-08 15:28:24,7,0
2026-06-08 15:28:27,2,0
2026-06-08 15:28:30,6,0
2026-06-08 15:28:33,12,0
2026-06-08 15:28:36,7,0
2026-06-08 15:28:39,8,0
2026-06-08 15:28:42,7,0
2026-06-08 15:28:45,0,0
2026-06-08 15:28:48,0,0
2026-06-08 15:28:51,0,0
2026-06-08 15:28:54,0,0
2026-06-08 15:28:57,0,34
2026-06-08 15:29:00,0,37
2026-06-08 15:29:03,0,33
2026-06-08 15:29:06,0,31
2026-06-08 15:29:09,0,33
2026-06-08 15:29:12,0,37
2026-06-08 15:29:15,0,28
2026-06-08 15:29:18,0,36
2026-06-08 15:29:21,0,31
2026-06-08 15:29:24,0,24
2026-06-08 15:29:27,0,0
2026-06-08 15:29:30,0,0
2026-06-08 15:29:33,0,0
2026-06-08 15:29:36,23,0
2026-06-08 15:29:39,19,0
2026-06-08 15:29:42,18,0
2026-06-08 15:29:45,18,0
2026-06-08 15:29:48,21,0
2026-06-08 15:29:51,15,0
2026-06-08 15:29:54,14,0
2026-06-08 15:29:57,21,0
2026-06-08 15:30:00,20,0
2026-06-08 15:30:03,15,0
2026-06-08 15:30:06,0,0
2026-06-08 15:30:09,0,0
2026-06-08 15:30:12,0,0
2026-06-08 15:30:15,0,2
2026-06-08 15:30:18,0,0
2026-06-08 15:30:21,0,24
2026-06-08 15:30:24,0,21
2026-06-08 15:30:27,0,14
2026-06-08 15:30:30,0,13
2026-06-08 15:30:33,0,24
2026-06-08 15:30:36,0,16
2026-06-08 15:30:39,0,24
2026-06-08 15:30:42,0,22
2026-06-08 15:30:45,0,0
2026-06-08 15:30:48,0,0
2026-06-08 15:30:51,0,0
2026-06-08 15:30:54,0,0
2026-06-08 15:30:57,1,0
2026-06-08 15:31:00,1,0
2026-06-08 15:31:03,1,0
2026-06-08 15:31:06,0,0
2026-06-08 15:31:09,0,0
2026-06-08 15:31:12,0,0
2026-06-08 15:31:15,1,0
2026-06-08 15:31:18,2,0
2026-06-08 15:31:21,0,0
2026-06-08 15:31:24,0,0
2026-06-08 15:31:27,0,0
2026-06-08 15:31:30,0,0
2026-06-08 15:31:33,0,0
2026-06-08 15:31:36,0,13
2026-06-08 15:31:39,0,35
2026-06-08 15:31:42,0,18
2026-06-08 15:31:45,0,15
2026-06-08 15:31:48,0,36
2026-06-08 15:31:51,0,13
2026-06-08 15:31:54,0,35
2026-06-08 15:31:57,0,33
2026-06-08 15:32:00,0,33
2026-06-08 15:32:03,0,13
2026-06-08 15:32:06,0,0
2026-06-08 15:32:09,0,0
2026-06-08 15:32:12,0,0
2026-06-08 15:32:15,0,0
2026-06-08 15:32:18,23,0
2026-06-08 15:32:21,18,0
2026-06-08 15:32:24,22,0
2026-06-08 15:32:27,15,0
2026-06-08 15:32:30,19,0
2026-06-08 15:32:33,17,0
2026-06-08 15:32:36,17,0
2026-06-08 15:32:39,13,0
2026-06-08 15:32:42,12,0
2026-06-08 15:32:45,13,0
2026-06-08 15:32:48,0,0
2026-06-08 15:32:51,0,0
2026-06-08 15:32:54,0,0
2026-06-08 15:32:57,0,31
2026-06-08 15:33:00,0,39
2026-06-08 15:33:03,0,32
2026-06-08 15:33:06,0,37
2026-06-08 15:33:09,0,39
2026-06-08 15:33:12,0,38
2026-06-08 15:33:15,0,37
2026-06-08 15:33:18,0,31
2026-06-08 15:33:21,0,36
2026-06-08 15:33:24,0,38
2026-06-08 15:33:27,0,0
2026-06-08 15:33:30,0,0
2026-06-08 15:33:33,0,0
2026-06-08 15:33:36,0,0
2026-06-08 15:33:39,22,0
2026-06-08 15:33:42,22,0
2026-06-08 15:33:45,25,0
2026-06-08 15:33:48,23,0
2026-06-08 15:33:51,22,0
2026-06-08 15:33:54,31,0
2026-06-08 15:33:57,22,0
2026-06-08 15:34:00,23,0
2026-06-08 15:34:03,21,0
2026-06-08 15:34:06,22,0
2026-06-08 15:34:09,0,0
2026-06-08 15:34:12,0,0
2026-06-08 15:34:15,0,0
2026-06-08 15:34:18,0,49
2026-06-08 15:34:21,0,47
2026-06-08 15:34:24,0,50
2026-06-08 15:34:27,0,47
2026-06-08 15:34:30,0,48
