"Time","prequal p50","wrr p50","prequal p90","wrr p90","prequal p99","wrr p99","prequal p99.9","wrr p99.9"
2026-06-08 15:25:06,NaN,10.5 ms,NaN,22.1 ms,NaN,24.7 ms,NaN,29.5 ms
2026-06-08 15:25:09,NaN,10.7 ms,NaN,22.2 ms,NaN,24.7 ms,NaN,25.1 ms
2026-06-08 15:25:12,NaN,10.5 ms,NaN,22.1 ms,NaN,24.7 ms,NaN,25.0 ms
2026-06-08 15:25:15,NaN,10.6 ms,NaN,22.1 ms,NaN,24.7 ms,NaN,25.0 ms
2026-06-08 15:25:18,NaN,10.5 ms,NaN,22.1 ms,NaN,24.7 ms,NaN,25.0 ms
2026-06-08 15:25:21,NaN,10.7 ms,NaN,22.1 ms,NaN,24.7 ms,NaN,25.0 ms
2026-06-08 15:25:24,NaN,10.7 ms,NaN,22.2 ms,NaN,24.7 ms,NaN,25.0 ms
2026-06-08 15:25:27,NaN,10.7 ms,NaN,22.2 ms,NaN,24.7 ms,NaN,26.2 ms
2026-06-08 15:25:30,NaN,10.9 ms,NaN,22.2 ms,NaN,24.8 ms,NaN,33.7 ms
2026-06-08 15:25:33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:25:36,10.6 ms,NaN,22.2 ms,NaN,24.8 ms,NaN,44.3 ms,NaN
2026-06-08 15:25:39,10.3 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,41.9 ms,NaN
2026-06-08 15:25:42,10.3 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,41.3 ms,NaN
2026-06-08 15:25:45,10.2 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,40.8 ms,NaN
2026-06-08 15:25:48,10.1 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,39.4 ms,NaN
2026-06-08 15:25:51,10.1 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,41.1 ms,NaN
2026-06-08 15:25:54,10.1 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,39.1 ms,NaN
2026-06-08 15:25:57,10.1 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,41.5 ms,NaN
2026-06-08 15:26:00,10.1 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,39.4 ms,NaN
2026-06-08 15:26:03,10.2 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,40.8 ms,NaN
2026-06-08 15:26:06,10.2 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,39.4 ms,NaN
2026-06-08 15:26:09,10.2 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,40.0 ms,NaN
2026-06-08 15:26:12,9.92 ms,NaN,22.0 ms,NaN,24.8 ms,NaN,36.6 ms,NaN
2026-06-08 15:26:15,NaN,10.3 ms,NaN,22.1 ms,NaN,24.8 ms,NaN,37.2 ms
2026-06-08 15:26:18,NaN,10.0 ms,NaN,22.2 ms,NaN,25.0 ms,NaN,47.3 ms
2026-06-08 15:26:21,NaN,9.88 ms,NaN,22.3 ms,NaN,32.6 ms,NaN,48.3 ms
2026-06-08 15:26:24,NaN,9.81 ms,NaN,22.3 ms,NaN,34.0 ms,NaN,48.4 ms
2026-06-08 15:26:27,NaN,9.66 ms,NaN,22.2 ms,NaN,33.7 ms,NaN,48.4 ms
2026-06-08 15:26:30,NaN,9.63 ms,NaN,22.1 ms,NaN,27.5 ms,NaN,47.8 ms
2026-06-08 15:26:33,NaN,9.59 ms,NaN,22.0 ms,NaN,25.0 ms,NaN,47.1 ms
2026-06-08 15:26:36,NaN,9.71 ms,NaN,22.0 ms,NaN,24.9 ms,NaN,46.2 ms
2026-06-08 15:26:39,NaN,9.87 ms,NaN,22.1 ms,NaN,25.0 ms,NaN,47.6 ms
2026-06-08 15:26:42,NaN,9.92 ms,NaN,22.2 ms,NaN,25.0 ms,NaN,47.9 ms
2026-06-08 15:26:45,NaN,9.99 ms,NaN,22.5 ms,NaN,37.3 ms,NaN,49.6 ms
2026-06-08 15:26:48,NaN,9.94 ms,NaN,22.5 ms,NaN,39.0 ms,NaN,49.7 ms
2026-06-08 15:26:51,NaN,10.5 ms,NaN,23.2 ms,NaN,45.0 ms,NaN,74.5 ms
2026-06-08 15:26:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:26:57,9.39 ms,NaN,21.8 ms,NaN,24.8 ms,NaN,42.9 ms,NaN
2026-06-08 15:27:00,9.29 ms,NaN,21.7 ms,NaN,24.7 ms,NaN,38.1 ms,NaN
2026-06-08 15:27:03,9.23 ms,NaN,21.6 ms,NaN,24.7 ms,NaN,33.2 ms,NaN
2026-06-08 15:27:06,9.16 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:09,9.16 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:12,9.18 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:15,9.22 ms,NaN,21.6 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:18,9.25 ms,NaN,21.6 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:21,9.25 ms,NaN,21.6 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:24,9.18 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:27,9.14 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:30,9.12 ms,NaN,21.5 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:33,9.30 ms,NaN,21.7 ms,NaN,24.7 ms,NaN,25.0 ms,NaN
2026-06-08 15:27:36,NaN,8.73 ms,NaN,21.0 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:39,NaN,8.56 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:42,NaN,8.55 ms,NaN,20.7 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:45,NaN,8.51 ms,NaN,20.7 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:48,NaN,8.51 ms,NaN,20.7 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:51,NaN,8.48 ms,NaN,20.7 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:54,NaN,8.45 ms,NaN,20.6 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:27:57,NaN,8.43 ms,NaN,20.6 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:00,NaN,8.43 ms,NaN,20.5 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:03,NaN,8.43 ms,NaN,20.6 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:06,NaN,8.47 ms,NaN,20.6 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:09,NaN,8.49 ms,NaN,20.7 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:12,NaN,8.63 ms,NaN,20.9 ms,NaN,24.6 ms,NaN,25.0 ms
2026-06-08 15:28:15,10.4 ms,NaN,23.1 ms,NaN,43.7 ms,NaN,49.4 ms,NaN
2026-06-08 15:28:18,8.71 ms,NaN,21.1 ms,NaN,24.7 ms,NaN,39.4 ms,NaN
2026-06-08 15:28:21,8.61 ms,NaN,21.0 ms,NaN,24.6 ms,NaN,28.9 ms,NaN
2026-06-08 15:28:24,8.59 ms,NaN,20.9 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:27,8.55 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:30,8.54 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:33,8.51 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:36,8.53 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:39,8.52 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:42,8.54 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:45,8.52 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:48,8.55 ms,NaN,20.8 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:51,8.56 ms,NaN,20.9 ms,NaN,24.6 ms,NaN,25.0 ms,NaN
2026-06-08 15:28:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:28:57,NaN,8.83 ms,NaN,23.0 ms,NaN,49.4 ms,NaN,94.4 ms
2026-06-08 15:29:00,NaN,9.38 ms,NaN,25.5 ms,NaN,49.4 ms,NaN,93.5 ms
2026-06-08 15:29:03,NaN,9.21 ms,NaN,25.6 ms,NaN,81.7 ms,NaN,207 ms
2026-06-08 15:29:06,NaN,9.18 ms,NaN,27.3 ms,NaN,86.9 ms,NaN,216 ms
2026-06-08 15:29:09,NaN,8.75 ms,NaN,25.0 ms,NaN,124 ms,NaN,237 ms
2026-06-08 15:29:12,NaN,8.73 ms,NaN,31.8 ms,NaN,137 ms,NaN,239 ms
2026-06-08 15:29:15,NaN,8.74 ms,NaN,25.4 ms,NaN,126 ms,NaN,238 ms
2026-06-08 15:29:18,NaN,8.82 ms,NaN,30.2 ms,NaN,98.7 ms,NaN,234 ms
2026-06-08 15:29:21,NaN,9.02 ms,NaN,24.6 ms,NaN,91.5 ms,NaN,224 ms
2026-06-08 15:29:24,NaN,9.16 ms,NaN,28.1 ms,NaN,97.2 ms,NaN,232 ms
2026-06-08 15:29:27,NaN,9.32 ms,NaN,24.2 ms,NaN,91.0 ms,NaN,222 ms
2026-06-08 15:29:30,NaN,9.21 ms,NaN,23.8 ms,NaN,91.8 ms,NaN,226 ms
2026-06-08 15:29:33,NaN,9.55 ms,NaN,24.1 ms,NaN,48.3 ms,NaN,89.9 ms
2026-06-08 15:29:36,8.43 ms,NaN,20.9 ms,NaN,24.8 ms,NaN,46.1 ms,NaN
2026-06-08 15:29:39,7.92 ms,NaN,19.9 ms,NaN,24.6 ms,NaN,33.3 ms,NaN
2026-06-08 15:29:42,7.89 ms,NaN,19.8 ms,NaN,24.5 ms,NaN,28.7 ms,NaN
2026-06-08 15:29:45,7.82 ms,NaN,19.6 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:29:48,7.84 ms,NaN,19.7 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:29:51,7.81 ms,NaN,19.6 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:29:54,7.83 ms,NaN,19.6 ms,NaN,24.5 ms,NaN,24.9 ms,NaN
2026-06-08 15:29:57,7.80 ms,NaN,19.6 ms,NaN,24.5 ms,NaN,24.9 ms,NaN
2026-06-08 15:30:00,7.83 ms,NaN,19.7 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:30:03,7.76 ms,NaN,19.5 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:30:06,7.81 ms,NaN,19.6 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:30:09,7.77 ms,NaN,19.5 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:30:12,7.94 ms,NaN,19.8 ms,NaN,24.5 ms,NaN,25.0 ms,NaN
2026-06-08 15:30:15,NaN,8.79 ms,NaN,21.7 ms,NaN,37.5 ms,NaN,48.8 ms
2026-06-08 15:30:18,NaN,7.92 ms,NaN,22.3 ms,NaN,81.8 ms,NaN,99.6 ms
2026-06-08 15:30:21,NaN,7.88 ms,NaN,29.0 ms,NaN,99.4 ms,NaN,239 ms
2026-06-08 15:30:24,NaN,7.93 ms,NaN,32.6 ms,NaN,97.9 ms,NaN,235 ms
2026-06-08 15:30:27,NaN,7.86 ms,NaN,41.4 ms,NaN,120 ms,NaN,240 ms
2026-06-08 15:30:30,NaN,8.22 ms,NaN,40.1 ms,NaN,96.5 ms,NaN,226 ms
2026-06-08 15:30:33,NaN,8.50 ms,NaN,44.9 ms,NaN,96.5 ms,NaN,221 ms
2026-06-08 15:30:36,NaN,8.67 ms,NaN,45.6 ms,NaN,95.6 ms,NaN,208 ms
2026-06-08 15:30:39,NaN,8.18 ms,NaN,48.0 ms,NaN,96.2 ms,NaN,207 ms
2026-06-08 15:30:42,NaN,7.75 ms,NaN,48.7 ms,NaN,97.5 ms,NaN,223 ms
2026-06-08 15:30:45,NaN,7.60 ms,NaN,47.6 ms,NaN,96.8 ms,NaN,217 ms
2026-06-08 15:30:48,NaN,7.60 ms,NaN,47.5 ms,NaN,96.9 ms,NaN,218 ms
2026-06-08 15:30:51,NaN,7.56 ms,NaN,43.2 ms,NaN,94.3 ms,NaN,191 ms
2026-06-08 15:30:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:30:57,7.63 ms,NaN,19.3 ms,NaN,24.7 ms,NaN,44.6 ms,NaN
2026-06-08 15:31:00,7.48 ms,NaN,18.6 ms,NaN,24.5 ms,NaN,33.9 ms,NaN
2026-06-08 15:31:03,7.38 ms,NaN,18.3 ms,NaN,24.4 ms,NaN,25.0 ms,NaN
2026-06-08 15:31:06,7.34 ms,NaN,18.0 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:09,7.37 ms,NaN,18.1 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:12,7.40 ms,NaN,18.1 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:15,7.37 ms,NaN,18.0 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:18,7.33 ms,NaN,17.9 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:21,7.35 ms,NaN,18.0 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:24,7.34 ms,NaN,18.0 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:27,7.35 ms,NaN,18.0 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:30,7.35 ms,NaN,18.1 ms,NaN,24.3 ms,NaN,24.9 ms,NaN
2026-06-08 15:31:33,7.41 ms,NaN,18.4 ms,NaN,24.4 ms,NaN,25.0 ms,NaN
2026-06-08 15:31:36,NaN,8.41 ms,NaN,20.9 ms,NaN,24.9 ms,NaN,46.9 ms
2026-06-08 15:31:39,NaN,8.01 ms,NaN,24.5 ms,NaN,208 ms,NaN,248 ms
2026-06-08 15:31:42,NaN,7.88 ms,NaN,24.0 ms,NaN,209 ms,NaN,306 ms
2026-06-08 15:31:45,NaN,7.65 ms,NaN,24.1 ms,NaN,211 ms,NaN,252 ms
2026-06-08 15:31:48,NaN,7.57 ms,NaN,23.7 ms,NaN,208 ms,NaN,249 ms
2026-06-08 15:31:51,NaN,7.59 ms,NaN,23.7 ms,NaN,206 ms,NaN,246 ms
2026-06-08 15:31:54,NaN,7.61 ms,NaN,25.0 ms,NaN,218 ms,NaN,250 ms
2026-06-08 15:31:57,NaN,7.71 ms,NaN,23.9 ms,NaN,212 ms,NaN,277 ms
2026-06-08 15:32:00,NaN,7.62 ms,NaN,23.7 ms,NaN,207 ms,NaN,272 ms
2026-06-08 15:32:03,NaN,7.68 ms,NaN,23.0 ms,NaN,193 ms,NaN,246 ms
2026-06-08 15:32:06,NaN,7.62 ms,NaN,24.2 ms,NaN,201 ms,NaN,246 ms
2026-06-08 15:32:09,NaN,7.71 ms,NaN,26.9 ms,NaN,207 ms,NaN,247 ms
2026-06-08 15:32:12,NaN,7.59 ms,NaN,42.2 ms,NaN,214 ms,NaN,248 ms
2026-06-08 15:32:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:32:18,7.21 ms,NaN,17.3 ms,NaN,24.4 ms,NaN,41.0 ms,NaN
2026-06-08 15:32:21,7.05 ms,NaN,16.3 ms,NaN,24.2 ms,NaN,27.7 ms,NaN
2026-06-08 15:32:24,7.01 ms,NaN,15.9 ms,NaN,24.2 ms,NaN,25.0 ms,NaN
2026-06-08 15:32:27,6.96 ms,NaN,15.6 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:30,6.99 ms,NaN,15.7 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:33,7.02 ms,NaN,15.9 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:36,7.01 ms,NaN,15.7 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:39,7.02 ms,NaN,15.7 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:42,6.99 ms,NaN,15.5 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:45,6.97 ms,NaN,15.5 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:48,6.95 ms,NaN,15.6 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:51,6.95 ms,NaN,15.7 ms,NaN,24.1 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:54,7.14 ms,NaN,16.7 ms,NaN,24.2 ms,NaN,24.9 ms,NaN
2026-06-08 15:32:57,NaN,7.08 ms,NaN,23.1 ms,NaN,91.3 ms,NaN,206 ms
2026-06-08 15:33:00,NaN,7.05 ms,NaN,32.8 ms,NaN,99.2 ms,NaN,233 ms
2026-06-08 15:33:03,NaN,7.27 ms,NaN,32.4 ms,NaN,148 ms,NaN,240 ms
2026-06-08 15:33:06,NaN,7.29 ms,NaN,47.3 ms,NaN,196 ms,NaN,245 ms
2026-06-08 15:33:09,NaN,7.38 ms,NaN,50.4 ms,NaN,207 ms,NaN,247 ms
2026-06-08 15:33:12,NaN,7.19 ms,NaN,68.9 ms,NaN,219 ms,NaN,248 ms
2026-06-08 15:33:15,NaN,7.14 ms,NaN,71.5 ms,NaN,223 ms,NaN,250 ms
2026-06-08 15:33:18,NaN,7.30 ms,NaN,67.9 ms,NaN,221 ms,NaN,249 ms
2026-06-08 15:33:21,NaN,7.53 ms,NaN,54.1 ms,NaN,218 ms,NaN,250 ms
2026-06-08 15:33:24,NaN,7.86 ms,NaN,44.0 ms,NaN,205 ms,NaN,246 ms
2026-06-08 15:33:27,NaN,8.03 ms,NaN,46.5 ms,NaN,217 ms,NaN,287 ms
2026-06-08 15:33:30,NaN,8.09 ms,NaN,48.2 ms,NaN,218 ms,NaN,347 ms
2026-06-08 15:33:33,NaN,8.00 ms,NaN,86.7 ms,NaN,243 ms,NaN,461 ms
2026-06-08 15:33:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:33:39,7.05 ms,NaN,16.5 ms,NaN,24.4 ms,NaN,41.6 ms,NaN
2026-06-08 15:33:42,6.91 ms,NaN,15.4 ms,NaN,24.2 ms,NaN,32.4 ms,NaN
2026-06-08 15:33:45,6.90 ms,NaN,15.1 ms,NaN,24.1 ms,NaN,25.0 ms,NaN
2026-06-08 15:33:48,6.86 ms,NaN,14.4 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:33:51,6.88 ms,NaN,14.6 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:33:54,6.88 ms,NaN,14.6 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:33:57,6.87 ms,NaN,14.5 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:00,6.86 ms,NaN,14.4 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:03,6.89 ms,NaN,14.4 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:06,6.90 ms,NaN,14.5 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:09,6.93 ms,NaN,14.6 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:12,6.91 ms,NaN,14.7 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:15,6.99 ms,NaN,14.9 ms,NaN,24.0 ms,NaN,24.9 ms,NaN
2026-06-08 15:34:18,NaN,7.08 ms,NaN,24.3 ms,NaN,196 ms,NaN,274 ms
2026-06-08 15:34:21,NaN,7.33 ms,NaN,41.4 ms,NaN,196 ms,NaN,247 ms
2026-06-08 15:34:24,NaN,7.39 ms,NaN,49.8 ms,NaN,195 ms,NaN,246 ms
2026-06-08 15:34:27,NaN,7.49 ms,NaN,64.3 ms,NaN,204 ms,NaN,245 ms
2026-06-08 15:34:30,NaN,7.58 ms,NaN,68.4 ms,NaN,204 ms,NaN,245 ms
2026-06-08 15:34:33,NaN,7.55 ms,NaN,70.1 ms,NaN,211 ms,NaN,246 ms
2026-06-08 15:34:36,NaN,7.46 ms,NaN,63.8 ms,NaN,212 ms,NaN,246 ms
2026-06-08 15:34:39,NaN,6.92 ms,NaN,69.7 ms,NaN,226 ms,NaN,250 ms
2026-06-08 15:34:42,NaN,6.55 ms,NaN,73.2 ms,NaN,231 ms,NaN,330 ms
2026-06-08 15:34:45,NaN,6.41 ms,NaN,83.1 ms,NaN,232 ms,NaN,339 ms
2026-06-08 15:34:48,NaN,6.49 ms,NaN,81.3 ms,NaN,230 ms,NaN,249 ms
2026-06-08 15:34:51,NaN,6.70 ms,NaN,79.3 ms,NaN,226 ms,NaN,248 ms
2026-06-08 15:34:54,NaN,6.66 ms,NaN,81.1 ms,NaN,228 ms,NaN,248 ms
2026-06-08 15:34:57,8.51 ms,NaN,22.2 ms,NaN,43.5 ms,NaN,49.4 ms,NaN
2026-06-08 15:35:00,6.97 ms,NaN,16.1 ms,NaN,24.4 ms,NaN,42.9 ms,NaN
2026-06-08 15:35:03,6.88 ms,NaN,15.2 ms,NaN,24.2 ms,NaN,36.4 ms,NaN
2026-06-08 15:35:06,6.83 ms,NaN,14.3 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:09,6.81 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:12,6.81 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:15,6.79 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:18,6.74 ms,NaN,13.7 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:21,6.77 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:24,6.79 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:27,6.82 ms,NaN,14.3 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:30,6.80 ms,NaN,14.1 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:33,6.79 ms,NaN,14.0 ms,NaN,23.9 ms,NaN,24.9 ms,NaN
2026-06-08 15:35:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:35:39,NaN,6.97 ms,NaN,22.5 ms,NaN,206 ms,NaN,249 ms
2026-06-08 15:35:42,NaN,6.73 ms,NaN,35.5 ms,NaN,213 ms,NaN,289 ms
2026-06-08 15:35:45,NaN,6.52 ms,NaN,48.0 ms,NaN,225 ms,NaN,372 ms
2026-06-08 15:35:48,NaN,6.14 ms,NaN,73.8 ms,NaN,231 ms,NaN,383 ms
