"Time","prequal","wrr"
2026-06-08 15:25:06,0 req/s,1.55K req/s
2026-06-08 15:25:09,0 req/s,1.55K req/s
2026-06-08 15:25:12,0 req/s,1.55K req/s
2026-06-08 15:25:15,0 req/s,1.55K req/s
2026-06-08 15:25:18,0 req/s,1.55K req/s
2026-06-08 15:25:21,0 req/s,1.55K req/s
2026-06-08 15:25:24,0 req/s,1.47K req/s
2026-06-08 15:25:27,0 req/s,950 req/s
2026-06-08 15:25:30,0 req/s,433 req/s
2026-06-08 15:25:33,0 req/s,0 req/s
2026-06-08 15:25:36,278 req/s,0 req/s
2026-06-08 15:25:39,794 req/s,0 req/s
2026-06-08 15:25:42,1.31K req/s,0 req/s
2026-06-08 15:25:45,1.55K req/s,0 req/s
2026-06-08 15:25:48,1.55K req/s,0 req/s
2026-06-08 15:25:51,1.55K req/s,0 req/s
2026-06-08 15:25:54,1.55K req/s,0 req/s
2026-06-08 15:25:57,1.55K req/s,0 req/s
2026-06-08 15:26:00,1.55K req/s,0 req/s
2026-06-08 15:26:03,1.55K req/s,0 req/s
2026-06-08 15:26:06,1.27K req/s,0 req/s
2026-06-08 15:26:09,756 req/s,0 req/s
2026-06-08 15:26:12,239 req/s,0 req/s
2026-06-08 15:26:15,0 req/s,227 req/s
2026-06-08 15:26:18,0 req/s,794 req/s
2026-06-08 15:26:21,0 req/s,1.36K req/s
2026-06-08 15:26:24,0 req/s,1.70K req/s
2026-06-08 15:26:27,0 req/s,1.70K req/s
2026-06-08 15:26:30,0 req/s,1.70K req/s
2026-06-08 15:26:33,0 req/s,1.70K req/s
2026-06-08 15:26:36,0 req/s,1.70K req/s
2026-06-08 15:26:39,0 req/s,1.70K req/s
2026-06-08 15:26:42,0 req/s,1.70K req/s
2026-06-08 15:26:45,0 req/s,1.47K req/s
2026-06-08 15:26:48,0 req/s,906 req/s
2026-06-08 15:26:51,0 req/s,340 req/s
2026-06-08 15:26:54,0 req/s,0 req/s
2026-06-08 15:26:57,439 req/s,0 req/s
2026-06-08 15:27:00,1.01K req/s,0 req/s
2026-06-08 15:27:03,1.57K req/s,0 req/s
2026-06-08 15:27:06,1.70K req/s,0 req/s
2026-06-08 15:27:09,1.70K req/s,0 req/s
2026-06-08 15:27:12,1.70K req/s,0 req/s
2026-06-08 15:27:15,1.70K req/s,0 req/s
2026-06-08 15:27:18,1.70K req/s,0 req/s
2026-06-08 15:27:21,1.70K req/s,0 req/s
2026-06-08 15:27:24,1.70K req/s,0 req/s
2026-06-08 15:27:27,1.26K req/s,0 req/s
2026-06-08 15:27:30,693 req/s,0 req/s
2026-06-08 15:27:33,127 req/s,0 req/s
2026-06-08 15:27:36,0 req/s,416 req/s
2026-06-08 15:27:39,0 req/s,1.07K req/s
2026-06-08 15:27:42,0 req/s,1.72K req/s
2026-06-08 15:27:45,0 req/s,1.95K req/s
2026-06-08 15:27:48,0 req/s,1.95K req/s
2026-06-08 15:27:51,0 req/s,1.95K req/s
2026-06-08 15:27:54,0 req/s,1.95K req/s
2026-06-08 15:27:57,0 req/s,1.95K req/s
2026-06-08 15:28:00,0 req/s,1.95K req/s
2026-06-08 15:28:03,0 req/s,1.95K req/s
2026-06-08 15:28:06,0 req/s,1.53K req/s
2026-06-08 15:28:09,0 req/s,884 req/s
2026-06-08 15:28:12,0 req/s,235 req/s
2026-06-08 15:28:15,8.44 req/s,0 req/s
2026-06-08 15:28:18,660 req/s,0 req/s
2026-06-08 15:28:21,1.31K req/s,0 req/s
2026-06-08 15:28:24,1.95K req/s,0 req/s
2026-06-08 15:28:27,1.95K req/s,0 req/s
2026-06-08 15:28:30,1.95K req/s,0 req/s
2026-06-08 15:28:33,1.95K req/s,0 req/s
2026-06-08 15:28:36,1.95K req/s,0 req/s
2026-06-08 15:28:39,1.95K req/s,0 req/s
2026-06-08 15:28:42,1.95K req/s,0 req/s
2026-06-08 15:28:45,1.94K req/s,0 req/s
2026-06-08 15:28:48,1.29K req/s,0 req/s
2026-06-08 15:28:51,640 req/s,0 req/s
2026-06-08 15:28:54,0 req/s,0 req/s
2026-06-08 15:28:57,0 req/s,613 req/s
2026-06-08 15:29:00,0 req/s,1.32K req/s
2026-06-08 15:29:03,0 req/s,1.96K req/s
2026-06-08 15:29:06,0 req/s,2.03K req/s
2026-06-08 15:29:09,0 req/s,1.93K req/s
2026-06-08 15:29:12,0 req/s,1.91K req/s
2026-06-08 15:29:15,0 req/s,1.94K req/s
2026-06-08 15:29:18,0 req/s,1.96K req/s
2026-06-08 15:29:21,0 req/s,2.01K req/s
2026-06-08 15:29:24,0 req/s,1.97K req/s
2026-06-08 15:29:27,0 req/s,1.43K req/s
2026-06-08 15:29:30,0 req/s,758 req/s
2026-06-08 15:29:33,0 req/s,89.9 req/s
2026-06-08 15:29:36,175 req/s,0 req/s
2026-06-08 15:29:39,892 req/s,0 req/s
2026-06-08 15:29:42,1.61K req/s,0 req/s
2026-06-08 15:29:45,2.15K req/s,0 req/s
2026-06-08 15:29:48,2.15K req/s,0 req/s
2026-06-08 15:29:51,2.15K req/s,0 req/s
2026-06-08 15:29:54,2.15K req/s,0 req/s
2026-06-08 15:29:57,2.15K req/s,0 req/s
2026-06-08 15:30:00,2.15K req/s,0 req/s
2026-06-08 15:30:03,2.15K req/s,0 req/s
2026-06-08 15:30:06,1.97K req/s,0 req/s
2026-06-08 15:30:09,1.26K req/s,0 req/s
2026-06-08 15:30:12,541 req/s,0 req/s
2026-06-08 15:30:15,0 req/s,77.6 req/s
2026-06-08 15:30:18,0 req/s,816 req/s
2026-06-08 15:30:21,0 req/s,1.44K req/s
2026-06-08 15:30:24,0 req/s,2.06K req/s
2026-06-08 15:30:27,0 req/s,1.98K req/s
2026-06-08 15:30:30,0 req/s,2.04K req/s
2026-06-08 15:30:33,0 req/s,1.98K req/s
2026-06-08 15:30:36,0 req/s,1.98K req/s
2026-06-08 15:30:39,0 req/s,1.94K req/s
2026-06-08 15:30:42,0 req/s,1.93K req/s
2026-06-08 15:30:45,0 req/s,1.89K req/s
2026-06-08 15:30:48,0 req/s,1.24K req/s
2026-06-08 15:30:51,0 req/s,612 req/s
2026-06-08 15:30:54,0 req/s,0 req/s
2026-06-08 15:30:57,361 req/s,0 req/s
2026-06-08 15:31:00,1.14K req/s,0 req/s
2026-06-08 15:31:03,1.93K req/s,0 req/s
2026-06-08 15:31:06,2.35K req/s,0 req/s
2026-06-08 15:31:09,2.35K req/s,0 req/s
2026-06-08 15:31:12,2.35K req/s,0 req/s
2026-06-08 15:31:15,2.35K req/s,0 req/s
2026-06-08 15:31:18,2.35K req/s,0 req/s
2026-06-08 15:31:21,2.35K req/s,0 req/s
2026-06-08 15:31:24,2.35K req/s,0 req/s
2026-06-08 15:31:27,1.99K req/s,0 req/s
2026-06-08 15:31:30,1.21K req/s,0 req/s
