"Time","prequal","wrr"
2026-06-09 22:39:45,0,48
2026-06-09 22:39:50,0,49
2026-06-09 22:39:55,0,50
2026-06-09 22:40:00,0,49
2026-06-09 22:40:05,0,49
2026-06-09 22:40:10,0,48
2026-06-09 22:40:15,0,11
2026-06-09 22:40:20,0,23
2026-06-09 22:40:25,0,24
2026-06-09 22:40:30,0,14
2026-06-09 22:40:35,0,18
2026-06-09 22:40:40,0,24
2026-06-09 22:40:45,0,17
2026-06-09 22:40:50,0,15
2026-06-09 22:40:55,0,28
2026-06-09 22:41:00,0,20
2026-06-09 22:41:05,0,13
2026-06-09 22:41:10,0,21
2026-06-09 22:41:15,0,18
2026-06-09 22:41:20,0,24
2026-06-09 22:41:25,0,22
2026-06-09 22:41:30,0,27
2026-06-09 22:41:35,0,33
2026-06-09 22:41:40,0,13
2026-06-09 22:41:45,0,0
2026-06-09 22:41:50,0,0
2026-06-09 22:41:55,44,0
2026-06-09 22:42:00,45,0
2026-06-09 22:42:05,41,0
2026-06-09 22:42:10,47,0
2026-06-09 22:42:15,44,0
2026-06-09 22:42:20,44,0
2026-06-09 22:42:25,38,0
2026-06-09 22:42:30,46,0
2026-06-09 22:42:35,44,0
2026-06-09 22:42:40,41,0
2026-06-09 22:42:45,43,0
2026-06-09 22:42:50,46,0
2026-06-09 22:42:55,49,0
2026-06-09 22:43:00,44,0
2026-06-09 22:43:05,45,0
2026-06-09 22:43:10,42,0
2026-06-09 22:43:15,42,0
2026-06-09 22:43:20,46,0
2026-06-09 22:43:25,0,0
2026-06-09 22:43:30,0,0
2026-06-09 22:43:35,0,0
2026-06-09 22:43:40,0,9
2026-06-09 22:43:45,0,10
2026-06-09 22:43:50,0,5
2026-06-09 22:43:55,0,13
2026-06-09 22:44:00,0,10
2026-06-09 22:44:05,0,15
2026-06-09 22:44:10,0,11
2026-06-09 22:44:15,0,15
2026-06-09 22:44:20,0,7
2026-06-09 22:44:25,0,23
2026-06-09 22:44:30,0,5
2026-06-09 22:44:35,0,1
2026-06-09 22:44:40,0,2
2026-06-09 22:44:45,0,9
2026-06-09 22:44:50,0,8
2026-06-09 22:44:55,0,10
2026-06-09 22:45:00,0,16
2026-06-09 22:45:05,0,6
2026-06-09 22:45:10,0,0
2026-06-09 22:45:15,11,0
2026-06-09 22:45:20,18,0
2026-06-09 22:45:25,12,0
2026-06-09 22:45:30,10,0
2026-06-09 22:45:35,13,0
2026-06-09 22:45:40,10,0
2026-06-09 22:45:45,8,0
2026-06-09 22:45:50,18,0
2026-06-09 22:45:55,7,0
2026-06-09 22:46:00,11,0
2026-06-09 22:46:05,18,0
2026-06-09 22:46:10,7,0
2026-06-09 22:46:15,17,0
2026-06-09 22:46:20,12,0
2026-06-09 22:46:25,8,0
2026-06-09 22:46:30,11,0
2026-06-09 22:46:35,7,0
2026-06-09 22:46:40,11,0
2026-06-09 22:46:45,0,0
2026-06-09 22:46:50,0,0
2026-06-09 22:46:55,0,44
2026-06-09 22:47:00,0,39
2026-06-09 22:47:05,0,39
2026-06-09 22:47:10,0,32
2026-06-09 22:47:15,0,43
2026-06-09 22:47:20,0,43
2026-06-09 22:47:25,0,44
2026-06-09 22:47:30,0,36
2026-06-09 22:47:35,0,39
2026-06-09 22:47:40,0,34
2026-06-09 22:47:45,0,39
2026-06-09 22:47:50,0,40
2026-06-09 22:47:55,0,39
2026-06-09 22:48:00,0,47
2026-06-09 22:48:05,0,35
2026-06-09 22:48:10,0,39
2026-06-09 22:48:15,0,39
2026-06-09 22:48:20,0,43
2026-06-09 22:48:25,0,0
2026-06-09 22:48:30,0,0
2026-06-09 22:48:35,0,0
2026-06-09 22:48:40,27,0
2026-06-09 22:48:45,24,0
2026-06-09 22:48:50,14,0
2026-06-09 22:48:55,18,0
2026-06-09 22:49:00,23,0
2026-06-09 22:49:05,24,0
2026-06-09 22:49:10,23,0
2026-06-09 22:49:15,22,0
2026-06-09 22:49:20,25,0
2026-06-09 22:49:25,25,0
2026-06-09 22:49:30,9,0
2026-06-09 22:49:35,17,0
2026-06-09 22:49:40,11,0
2026-06-09 22:49:45,19,0
2026-06-09 22:49:50,9,0
2026-06-09 22:49:55,20,0
2026-06-09 22:50:00,12,0
2026-06-09 22:50:05,22,0
2026-06-09 22:50:10,0,0
2026-06-09 22:50:15,0,22
2026-06-09 22:50:20,0,28
2026-06-09 22:50:25,0,38
2026-06-09 22:50:30,0,38
2026-06-09 22:50:35,0,33
2026-06-09 22:50:40,0,28
2026-06-09 22:50:45,0,35
2026-06-09 22:50:50,0,21
2026-06-09 22:50:55,0,30
2026-06-09 22:51:00,0,35
2026-06-09 22:51:05,0,30
2026-06-09 22:51:10,0,37
2026-06-09 22:51:15,0,28
2026-06-09 22:51:20,0,34
2026-06-09 22:51:25,0,25
2026-06-09 22:51:30,0,43
2026-06-09 22:51:35,0,33
2026-06-09 22:51:40,0,29
2026-06-09 22:51:45,0,0
2026-06-09 22:51:50,0,0
2026-06-09 22:51:55,0,0
2026-06-09 22:52:00,7,0
2026-06-09 22:52:05,4,0
2026-06-09 22:52:10,2,0
2026-06-09 22:52:15,8,0
2026-06-09 22:52:20,4,0
