"Time","prequal p50","wrr p50","prequal p90","wrr p90","prequal p99","wrr p99","prequal p99.9","wrr p99.9"
2026-06-09 22:39:50,NaN,24.1 ms,NaN,168 ms,NaN,377 ms,NaN,492 ms
2026-06-09 22:39:55,NaN,23.4 ms,NaN,141 ms,NaN,351 ms,NaN,489 ms
2026-06-09 22:40:00,NaN,24.7 ms,NaN,121 ms,NaN,274 ms,NaN,479 ms
2026-06-09 22:40:05,NaN,23.5 ms,NaN,123 ms,NaN,279 ms,NaN,482 ms
2026-06-09 22:40:10,NaN,22.2 ms,NaN,149 ms,NaN,402 ms,NaN,606 ms
2026-06-09 22:40:15,NaN,24.2 ms,NaN,106 ms,NaN,369 ms,NaN,491 ms
2026-06-09 22:40:20,NaN,26.7 ms,NaN,90.3 ms,NaN,281 ms,NaN,483 ms
2026-06-09 22:40:25,NaN,28.0 ms,NaN,80.5 ms,NaN,192 ms,NaN,245 ms
2026-06-09 22:40:30,NaN,24.2 ms,NaN,74.4 ms,NaN,196 ms,NaN,245 ms
2026-06-09 22:40:35,NaN,24.4 ms,NaN,72.4 ms,NaN,181 ms,NaN,243 ms
2026-06-09 22:40:40,NaN,25.5 ms,NaN,70.5 ms,NaN,119 ms,NaN,237 ms
2026-06-09 22:40:45,NaN,25.3 ms,NaN,71.9 ms,NaN,134 ms,NaN,241 ms
2026-06-09 22:40:50,NaN,26.4 ms,NaN,74.6 ms,NaN,161 ms,NaN,243 ms
2026-06-09 22:40:55,NaN,26.5 ms,NaN,76.9 ms,NaN,186 ms,NaN,244 ms
2026-06-09 22:41:00,NaN,24.3 ms,NaN,67.0 ms,NaN,125 ms,NaN,238 ms
2026-06-09 22:41:05,NaN,24.7 ms,NaN,66.1 ms,NaN,99.1 ms,NaN,230 ms
2026-06-09 22:41:10,NaN,24.8 ms,NaN,67.0 ms,NaN,99.7 ms,NaN,236 ms
2026-06-09 22:41:15,NaN,26.0 ms,NaN,72.7 ms,NaN,142 ms,NaN,241 ms
2026-06-09 22:41:20,NaN,27.2 ms,NaN,78.1 ms,NaN,185 ms,NaN,246 ms
2026-06-09 22:41:25,NaN,26.9 ms,NaN,81.7 ms,NaN,207 ms,NaN,247 ms
2026-06-09 22:41:30,NaN,26.8 ms,NaN,76.8 ms,NaN,184 ms,NaN,244 ms
2026-06-09 22:41:35,NaN,27.9 ms,NaN,76.9 ms,NaN,170 ms,NaN,243 ms
2026-06-09 22:41:40,NaN,28.7 ms,NaN,79.4 ms,NaN,191 ms,NaN,246 ms
2026-06-09 22:41:45,NaN,27.9 ms,NaN,78.3 ms,NaN,198 ms,NaN,247 ms
2026-06-09 22:41:50,NaN,27.5 ms,NaN,73.3 ms,NaN,152 ms,NaN,240 ms
