"Time","prequal","wrr"
2026-06-08 15:40:57,0,7
2026-06-08 15:41:00,0,7
2026-06-08 15:41:03,0,7
2026-06-08 15:41:06,0,14
2026-06-08 15:41:09,0,5
2026-06-08 15:41:12,0,8
2026-06-08 15:41:15,0,6
2026-06-08 15:41:18,0,0
2026-06-08 15:41:21,0,0
2026-06-08 15:41:24,0,0
2026-06-08 15:41:27,0,0
2026-06-08 15:41:30,21,0
2026-06-08 15:41:33,21,0
2026-06-08 15:41:36,22,0
2026-06-08 15:41:39,22,0
2026-06-08 15:41:42,25,0
2026-06-08 15:41:45,20,0
2026-06-08 15:41:48,28,0
2026-06-08 15:41:51,21,0
2026-06-08 15:41:54,22,0
2026-06-08 15:41:57,26,0
2026-06-08 15:42:00,0,0
2026-06-08 15:42:03,0,0
2026-06-08 15:42:06,0,0
2026-06-08 15:42:09,0,4
2026-06-08 15:42:12,0,1
2026-06-08 15:42:15,0,1
2026-06-08 15:42:18,0,1
2026-06-08 15:42:21,0,0
2026-06-08 15:42:24,0,0
2026-06-08 15:42:27,0,0
2026-06-08 15:42:30,0,3
2026-06-08 15:42:33,0,1
2026-06-08 15:42:36,0,0
2026-06-08 15:42:39,0,0
2026-06-08 15:42:42,0,0
2026-06-08 15:42:45,0,0
2026-06-08 15:42:48,0,0
2026-06-08 15:42:51,50,0
2026-06-08 15:42:54,3,0
2026-06-08 15:42:57,0,0
2026-06-08 15:43:00,0,0
2026-06-08 15:43:03,0,0
2026-06-08 15:43:06,2,0
2026-06-08 15:43:09,0,0
2026-06-08 15:43:12,35,0
2026-06-08 15:43:15,3,0
2026-06-08 15:43:18,40,0
2026-06-08 15:43:21,0,0
2026-06-08 15:43:24,0,0
2026-06-08 15:43:27,0,0
2026-06-08 15:43:30,0,2
2026-06-08 15:43:33,0,4
2026-06-08 15:43:36,0,6
2026-06-08 15:43:39,0,4
2026-06-08 15:43:42,0,0
2026-06-08 15:43:45,0,3
2026-06-08 15:43:48,0,2
2026-06-08 15:43:51,0,1
2026-06-08 15:43:54,0,2
2026-06-08 15:43:57,0,2
2026-06-08 15:44:00,0,0
2026-06-08 15:44:03,0,0
2026-06-08 15:44:06,0,0
2026-06-08 15:44:09,21,0
2026-06-08 15:44:12,16,0
2026-06-08 15:44:15,20,0
2026-06-08 15:44:18,18,0
2026-06-08 15:44:21,20,0
2026-06-08 15:44:24,17,0
2026-06-08 15:44:27,15,0
2026-06-08 15:44:30,14,0
2026-06-08 15:44:33,11,0
2026-06-08 15:44:36,15,0
2026-06-08 15:44:39,0,0
2026-06-08 15:44:42,0,0
2026-06-08 15:44:45,0,0
2026-06-08 15:44:48,0,39
2026-06-08 15:44:51,0,33
2026-06-08 15:44:54,0,40
2026-06-08 15:44:57,0,37
2026-06-08 15:45:00,0,39
2026-06-08 15:45:03,0,29
2026-06-08 15:45:06,0,39
2026-06-08 15:45:09,0,35
2026-06-08 15:45:12,0,43
2026-06-08 15:45:15,0,32
2026-06-08 15:45:18,0,0
2026-06-08 15:45:21,0,0
2026-06-08 15:45:24,0,0
2026-06-08 15:45:27,0,0
2026-06-08 15:45:30,16,0
2026-06-08 15:45:33,20,0
2026-06-08 15:45:36,14,0
2026-06-08 15:45:39,18,0
2026-06-08 15:45:42,18,0
2026-06-08 15:45:45,17,0
2026-06-08 15:45:48,14,0
2026-06-08 15:45:51,23,0
2026-06-08 15:45:54,19,0
2026-06-08 15:45:57,16,0
2026-06-08 15:46:00,0,0
2026-06-08 15:46:03,0,0
2026-06-08 15:46:06,0,0
2026-06-08 15:46:09,0,37
2026-06-08 15:46:12,0,27
2026-06-08 15:46:15,0,34
2026-06-08 15:46:18,0,40
2026-06-08 15:46:21,0,38
2026-06-08 15:46:24,0,41
