"Time","prequal p50","wrr p50","prequal p90","wrr p90","prequal p99","wrr p99","prequal p99.9","wrr p99.9"
2026-06-08 15:40:57,NaN,9.93 ms,NaN,22.9 ms,NaN,42.8 ms,NaN,49.4 ms
2026-06-08 15:41:00,NaN,9.95 ms,NaN,22.9 ms,NaN,43.0 ms,NaN,49.4 ms
2026-06-08 15:41:03,NaN,10.00 ms,NaN,22.8 ms,NaN,42.4 ms,NaN,49.3 ms
2026-06-08 15:41:06,NaN,9.97 ms,NaN,22.8 ms,NaN,41.6 ms,NaN,49.2 ms
2026-06-08 15:41:09,NaN,10.0 ms,NaN,22.8 ms,NaN,41.8 ms,NaN,49.2 ms
2026-06-08 15:41:12,NaN,9.97 ms,NaN,22.8 ms,NaN,42.4 ms,NaN,49.2 ms
2026-06-08 15:41:15,NaN,9.90 ms,NaN,22.8 ms,NaN,42.6 ms,NaN,49.3 ms
2026-06-08 15:41:18,NaN,9.82 ms,NaN,22.8 ms,NaN,42.4 ms,NaN,49.3 ms
2026-06-08 15:41:21,NaN,9.75 ms,NaN,22.7 ms,NaN,42.4 ms,NaN,49.3 ms
2026-06-08 15:41:24,NaN,9.85 ms,NaN,22.8 ms,NaN,42.7 ms,NaN,49.3 ms
2026-06-08 15:41:27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-08 15:41:30,9.77 ms,NaN,22.8 ms,NaN,43.0 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:33,9.75 ms,NaN,22.9 ms,NaN,43.5 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:36,9.75 ms,NaN,22.9 ms,NaN,43.3 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:39,9.73 ms,NaN,22.9 ms,NaN,43.5 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:42,9.72 ms,NaN,22.8 ms,NaN,42.8 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:45,9.72 ms,NaN,22.8 ms,NaN,43.0 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:48,9.69 ms,NaN,22.8 ms,NaN,42.6 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:51,9.65 ms,NaN,22.8 ms,NaN,43.2 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:54,9.56 ms,NaN,22.8 ms,NaN,43.0 ms,NaN,49.3 ms,NaN
2026-06-08 15:41:57,9.55 ms,NaN,22.8 ms,NaN,43.0 ms,NaN,49.3 ms,NaN
2026-06-08 15:42:00,9.57 ms,NaN,22.7 ms,NaN,42.7 ms,NaN,49.3 ms,NaN
2026-06-08 15:42:03,9.66 ms,NaN,22.8 ms,NaN,42.6 ms,NaN,49.3 ms,NaN
2026-06-08 15:42:06,9.87 ms,NaN,22.8 ms,NaN,42.3 ms,NaN,49.2 ms,NaN
2026-06-08 15:42:09,NaN,9.94 ms,NaN,22.9 ms,NaN,43.0 ms,NaN,49.3 ms
2026-06-08 15:42:12,NaN,9.76 ms,NaN,23.1 ms,NaN,45.0 ms,NaN,63.3 ms
2026-06-08 15:42:15,NaN,9.50 ms,NaN,22.8 ms,NaN,43.5 ms,NaN,49.9 ms
2026-06-08 15:42:18,NaN,9.45 ms,NaN,22.8 ms,NaN,44.1 ms,NaN,59.0 ms
2026-06-08 15:42:21,NaN,9.32 ms,NaN,22.5 ms,NaN,41.9 ms,NaN,49.6 ms
